Level,Name,Log2 Fold Change,p-value,q-value,Comparison,Source
Genus,Dolosigranulum,-3.64393150402462,6.83769713585526e-05,0.0076582207921578,BQL vs CTRL,NPA
Genus,Bacteroides,-2.64857418059778,2.25079847294559e-05,0.0025659102591579,BQL vs CTRL,NPA
Genus,Arcobacter,-2.38699049355748,0.0001111131515383,0.0123335598207526,BQL vs CTRL,NPA
Genus,Atopobium,2.90670677559636,4.12730385934083e-05,0.0046638533610551,BQL vs CTRL,NPA
Genus,Anaerosinus,-2.64964749933448,0.0002357273130916,0.0254585498139011,BQL vs CTRL,NPA
Genus,Macellibacteroides,-2.68562892602281,0.0002007175186345,0.0218782095311669,BQL vs CTRL,NPA
Genus,Methanobrevibacter,-2.27319298620817,0.0001695157663351,0.018646734296865,BQL vs CTRL,NPA
Genus,Burkholderia-Caballeronia-Paraburkholderia,-1.60721151198586,0.0005562373801115,0.0389366166078052,Wheezing vs Non-wheezing,NPA
Genus,Dolosigranulum,-1.87148524469796,1.64263308466521e-06,0.0001494796107045,Wheezing vs Non-wheezing,NPA
Genus,Blautia,-1.00998818770996,2.83908984994079e-07,2.75391715444257e-05,Wheezing vs Non-wheezing,NPA
Genus,Corynebacterium,-1.46675762635386,0.0005262574272957,0.0373642773379951,Wheezing vs Non-wheezing,NPA
Family,Enterobacteriaceae,-1.0470509988732,0.000267770726639,0.0200828044979285,Wheezing vs Non-wheezing,NPA
Genus,[Ruminococcus]_torques_group,-1.0182061133643,6.54738703438131e-06,0.0005827174460599,Wheezing vs Non-wheezing,NPA
Genus,Actinobacillus,2.34347356234127,1.27607558609271e-08,1.28883634195364e-06,Wheezing vs Non-wheezing,NPA
Genus,unidentified_Saccharimonadales,-1.03122830335438,8.94148163521893e-06,0.0007868503838992,Wheezing vs Non-wheezing,NPA
Genus,Megasphaera,2.12049311427935,8.08518498547282e-08,7.92348128576336e-06,Wheezing vs Non-wheezing,NPA
Genus,Mycobacterium,-1.32308232110613,4.38200614150475e-08,4.3381860800897e-06,Wheezing vs Non-wheezing,NPA
Genus,Anaerosinus,1.23435260491321,5.96066173189997e-07,5.66262864530497e-05,Wheezing vs Non-wheezing,NPA
Genus,Bradyrhizobium,-1.38890080014728,2.46887530349523e-09,2.51825280956514e-07,Wheezing vs Non-wheezing,NPA
Genus,Lachnoanaerobaculum,1.04888633624764,6.54696095962313e-07,6.08867369244951e-05,Wheezing vs Non-wheezing,NPA
Family,Caulobacteraceae,-2.02161247334925,1.08794987142943e-10,1.12058836757231e-08,Wheezing vs Non-wheezing,NPA
Genus,Methylobacterium-Methylorubrum,-2.21937414927326,6.32171202306043e-07,5.9424093016768e-05,Wheezing vs Non-wheezing,NPA
Genus,Comamonas,1.80411147824182,2.22574183861386e-08,2.22574183861387e-06,Wheezing vs Non-wheezing,NPA
Genus,Aquaspirillum,1.14913639721702,0.0001247127427012,0.0099770194161015,Wheezing vs Non-wheezing,NPA
Family,Mitochondria,1.42026109953623,3.91201459592599e-07,3.75553401208895e-05,Wheezing vs Non-wheezing,NPA
Genus,Dolosigranulum,-2.21559116881754,2.25095948445262e-07,2.29597867414167e-05,RSV vs Non-RSV,NPA
Genus,Faecalibacterium,1.40901180900111,1.86517466648229e-05,0.0017719159331581,RSV vs Non-RSV,NPA
Genus,[Ruminococcus]_torques_group,1.66735957718145,0.0001900159961243,0.0169114236550675,RSV vs Non-RSV,NPA
Family,Neisseriaceae,-1.9574073235668,3.32356569644386e-06,0.0003323565696443,RSV vs Non-RSV,NPA
Genus,Atopobium,-1.46790507392311,0.0001366967599829,0.0123027083984653,RSV vs Non-RSV,NPA
Genus,Megasphaera,-2.74412853594984,1.23657888490917e-05,0.0011871157295128,RSV vs Non-RSV,NPA
Genus,Anaerosinus,1.77956861438781,4.40386579157914e-06,0.0004315788475747,RSV vs Non-RSV,NPA
Genus,Trichococcus,2.51345286080388,2.88067451216616e-06,0.0002909481257287,RSV vs Non-RSV,NPA
Genus,Bergeyella,-2.09898818252583,1.22806220769371e-08,1.26490407392452e-06,RSV vs Non-RSV,NPA
Genus,Bradyrhizobium,1.54835513991551,4.39716656070975e-06,0.0004315788475747,RSV vs Non-RSV,NPA
Genus,Candidatus_Competibacter,1.66541960058365,3.03233674266554e-05,0.0028200731706789,RSV vs Non-RSV,NPA
Genus,TM7x,-2.19709969987499,2.83206472112233e-05,0.0026621408378549,RSV vs Non-RSV,NPA
Genus,Flavobacterium,-1.6822459359839,0.000116599885996,0.010727189511635,RSV vs Non-RSV,NPA
Genus,Methanosaeta,1.78653079246083,8.67382969933659e-06,0.0008413614808356,RSV vs Non-RSV,NPA
Genus,Phascolarctobacterium,-1.42750658663243,0.0002173504083524,0.019126835935015,RSV vs Non-RSV,NPA
Family,Comamonadaceae,1.58448837567618,0.0001181209918745,0.0107490102605825,RSV vs Non-RSV,NPA
Genus,Erysipelatoclostridium,2.69131883600795,0.0004956929350112,0.0148707880503361,BQL vs CTRL,GUT
Genus,[Clostridium]_innocuum_group,2.42400401135656,0.0011887486913234,0.0344737120483786,BQL vs CTRL,GUT
Genus,Lachnoclostridium,3.53727610246168,2.81767452782677e-05,0.0008734791036263,BQL vs CTRL,GUT
Genus,[Ruminococcus]_gnavus_group,2.29087647587571,6.06704040769095e-06,0.0002184134546768,Wheezing vs Non-wheezing,GUT
Genus,Collinsella,-1.27504677127491,0.0009174823634367,0.0302752360548348,Wheezing vs Non-wheezing,GUT
Genus,Klebsiella,-1.94058978666073,5.5320132120772e-06,0.0002046844888468,Wheezing vs Non-wheezing,GUT
Genus,Clostridium_sensu_stricto_1,-1.36553394176957,0.000311946815323,0.0106061917209848,Wheezing vs Non-wheezing,GUT
Genus,[Ruminococcus]_torques_group,-4.37367051931578,0.0009461011267135,0.0302752360548348,Wheezing vs Non-wheezing,GUT
Genus,Flavonifractor,-2.29340041080376,8.576200856239701e-10,3.25895632537109e-08,Wheezing vs Non-wheezing,GUT
Genus,Bifidobacterium,-5.6170914494529,0.0010757223008785,0.039801725132505,Antib vs Non-Antib,GUT
Genus,Collinsella,-8.83627243140501,6.57824077845636e-06,0.0002499731495813,Antib vs Non-Antib,GUT
