,BQLHLP100ANF,BQLHLP101ANF,BQLHLP102ANF,BQLHLP103ANF,BQLHLP104ANF,BQLHLP105ANF,BQLHLP106ANF,BQLHLP107ANF,BQLHLP108ANF,BQLHLP109ANF,BQLHLP110ANF,BQLHLP111ANF,BQLHLP112ANF,BQLHLP113ANF,BQLHLP114ANF,BQLHLP115ANF,BQLHLP116ANF,BQLHLP117ANF,BQLHLP118ANF,BQLHLP66ANF,BQLHLP67ANF,BQLHLP68ANF,BQLHLP69ANF,BQLHLP70ANF,BQLHLP71ANF,BQLHLP72ANF,BQLHLP73ANF,BQLHLP74ANF,BQLHLP75ANF,BQLHLP76ANF,BQLHLP77ANF,BQLHLP78ANF,BQLHLP79ANF,BQLHLP80ANF,BQLHLP81ANF,BQLHLP82ANF,BQLHLP83ANF,BQLHLP84ANF,BQLHLP85ANF,BQLHLP86ANF,BQLHLP87ANF,BQLHLP88ANF,BQLHLP89ANF,BQLHLP90ANF,BQLHLP91ANF,BQLHLP92ANF,BQLHLP93ANF,BQLHLP94ANF,BQLHLP95ANF,BQLHLP96ANF,BQLHLP97ANF,BQLHLP98ANF,BQLHLP99ANF,BQLHSO100ANF,BQLHSO101ANF,BQLHSO102ANF,BQLHSO76ANF,BQLHSO77ANF,BQLHSO78ANF,BQLHSO79ANF,BQLHSO80ANF,BQLHSO81ANF,BQLHSO82ANF,BQLHSO83ANF,BQLHSO84ANF,BQLHSO85ANF,BQLHSO86ANF,BQLHSO87ANF,BQLHSO88ANF,BQLHSO89ANF,BQLHSO90ANF,BQLHSO91ANF,BQLHSO92ANF,BQLHSO93ANF,BQLHSO94ANF,BQLHSO95ANF,BQLHSO96ANF,BQLHSO97ANF,BQLHSO98ANF,BQLHSO99ANF,HULP62ANF,HULP63ANF,HULP64ANF,HULP65ANF,HULP66ANF,HULP67ANF,HULP68ANF,HULP69ANF,HULP70ANF,HULP71ANF
BQLHLP100ANF,0.0,0.815792296963845,0.7933340485641741,0.6975288774451954,0.8938955047741659,0.8402174301755891,0.7131209097736294,0.8044558881378965,0.9160318992954977,0.888638558094625,0.8804134034259558,0.6413832564460179,0.891213389121339,0.7770625469370239,0.7700532846976361,0.9780424131888567,0.8907484890748489,0.7041090011801309,0.8002360261774488,0.706183170618317,0.8863498194042128,0.9356292243321532,0.9299073776061224,0.8485498694703716,0.8578836319422094,0.8903193505703966,0.9183563995279477,0.9136001144369346,0.8945392125308443,0.8821657189858026,0.8341379680291814,0.9603046883381612,0.716089117762758,0.8636770017523155,0.8959696742123521,0.7923684869291564,0.7847870400171656,0.9804384365053821,0.8135393198154705,0.8150055430390158,0.716303687014984,0.8801273110896541,0.7889353788935379,0.9178914994814577,0.9951364302828738,0.8018810571111826,0.93133783928763,0.8787683724922218,0.907377606122376,0.9105246218216929,0.9897721989772199,0.8030969495404642,0.9304438007366878,0.9589457497407288,0.9519722490433787,0.9771483746379144,0.7908307406215356,0.8055287343990273,0.7765618853484962,0.8049207881843865,0.9782212208990452,0.8004863569717127,0.9698887816042627,0.9436040482065586,0.8031684726245396,0.9835139291206236,0.8038479419232557,0.8054929728569896,0.9695311661838858,0.9883417372957122,0.9911668991166899,0.8035976111289919,0.8056360190251404,0.9705682509029789,0.9735722204341452,0.9097736294389014,0.8713657332904194,0.9905231913600114,0.7999856953831849,0.9782212208990452,0.8805922111361442,0.9400994170868647,0.7778135393198155,0.9698887816042627,0.9256875156456746,0.8037406572971426,0.7909380252476487,0.7968029181418302,0.9768622823016129,0.9994993384114723
BQLHLP101ANF,0.815792296963845,0.0,0.8653577942280871,0.8846332653864034,0.9971033150949469,0.9233987769552623,0.8646425633873333,0.8647498480134463,0.9971033150949469,0.9967814612166077,0.9969602689267961,0.9020133748167221,0.9941708686478561,0.8653220326860495,0.8570253549333047,0.8646783249293709,0.9924900761720845,0.8653935557701248,0.8651074634338233,0.8654650788542002,0.9916317991631799,0.9868039909880915,0.9525086721739442,0.8707577870757787,0.9767192361334621,0.7071129707112971,0.9927404069663484,0.9893788220148053,0.7874691556699925,0.9967814612166077,0.9967814612166077,0.870722025533741,0.8653935557701248,0.5015556270786397,0.9984622536923792,0.8662518327790294,0.8877802810857204,0.9966741765904946,0.8639988556306548,0.8653935557701248,0.8650717018917856,0.9971390766369845,0.8636054786682402,0.9968887458427207,0.9965311304223438,0.8649286557236348,0.9588384651146158,0.9961377534599292,0.9485749025497979,0.989056968136466,0.9779708901047813,0.8654650788542002,0.9988556306547939,0.9832278367843221,0.9965668919643815,0.9970317920108716,0.8654650788542002,0.8650001788077102,0.8651432249758609,0.8650359403497478,0.9930622608446876,0.8651432249758609,0.9865536601938275,0.9579801881057112,0.8651432249758609,0.9974251689732861,0.8655008403962379,0.8653577942280871,0.9881629295855238,0.9927404069663484,0.9955655687873262,0.8651432249758609,0.8654293173121625,0.9971748381790223,0.9967456996745699,0.9966741765904946,0.8882809426742481,0.9816543289346636,0.8654650788542002,0.9040517827128706,0.9965668919643815,0.9967456996745699,0.7983764259914887,0.996852984300683,0.945427886850481,0.8653935557701248,0.8649644172656725,0.8651074634338233,0.9919178914994815,0.99953509995351
BQLHLP102ANF,0.7933340485641741,0.8653577942280871,0.0,0.8360333297571791,0.9651682580552874,0.8725458641776633,0.6271144011729786,0.48682187175911024,0.9531881414726603,0.9457497407288202,0.9532954260987734,0.9276901619997854,0.5597038944319279,0.652540857561778,0.19511497335765118,0.4611093230340092,0.8385366376998176,0.624503808604227,0.6586918427922612,0.61577799234703,0.7255659264027465,0.9340199549404571,0.33801809534027105,0.8506240389085578,0.9621642885241212,0.6326216786467832,0.36941672924936525,0.5540535707899724,0.7274255265887065,0.9542609877337911,0.9542967492758287,0.440653720988449,0.6133104459464293,0.6743196366627329,0.6492150341522727,0.641955441118621,0.8489790079748238,0.9924900761720845,0.6408468333154526,0.7452705360655152,0.6233952008010586,0.9552623109108465,0.18299181060687336,0.3736723527518507,0.9956728534134391,0.8098201194435504,0.9148160068662161,0.9622000500661588,0.7844651861388263,0.6750706290455244,0.38693988484783465,0.651861388263062,0.9636662732897042,0.9642026964202697,0.9524371490898688,0.9829775059900583,0.6446733183134857,0.6530415191503057,0.6245395701462647,0.6585845581661481,0.9335550548939671,0.7462718592425706,0.9817973751028144,0.9469656331581018,0.7655115688588492,0.9864463755677145,0.7894718020241033,0.815577727711619,0.9776132746844044,0.9818688981868898,0.38819153881915386,0.6579766119515074,0.6599077352215428,0.9805099595894575,0.9849443908021314,0.9526159568000572,0.8766942030540357,0.39477166255408935,0.7099738940743124,0.3748524836390945,0.9681007045023782,0.9674569967456996,0.6102707148732254,0.9814755212244752,0.9308729392411401,0.6657011050316489,0.6401316024746987,0.6461395415370311,0.9888423988842399,0.9989271537388692
BQLHLP103ANF,0.6975288774451954,0.8846332653864034,0.8360333297571791,0.0,0.867932625254801,0.7605407145156099,0.585058827736652,0.8681829560490648,0.8985445052390659,0.8318134677967314,0.6672746128813074,0.8763008260916211,0.8516253620856131,0.7671923613346208,0.826735328827379,0.9805457211314952,0.6742481135786575,0.6948110002503308,0.8785538032399957,0.6482852340592926,0.7192003719200372,0.8594571397918678,0.9255802310195616,0.8185101741587097,0.8249830132675321,0.8046704573901227,0.8938597432321281,0.913421306726746,0.8928584200550728,0.6869076994600007,0.7597539605907807,0.9571219110968064,0.5579515788720809,0.7996638415048457,0.7932625254800987,0.8502306619461432,0.6424918642491865,0.9946715302363838,0.8244823516790044,0.8775882416049781,0.5924257053964167,0.7239208954690126,0.8416836533991345,0.9148517684082538,0.9957801380395522,0.8790187032864857,0.9115974680828237,0.6604799198941458,0.8957908665021636,0.8832743267889711,0.9671351428673605,0.8754783106247541,0.9195007688731538,0.916103422379573,0.9360941243786433,0.937631870686264,0.8677180560025748,0.8290240675177913,0.795908879590888,0.8821657189858026,0.9393126631620355,0.8763723491756965,0.9841218753352644,0.9020848979007975,0.8805922111361442,0.9416371633944856,0.8290598290598291,0.8786610878661087,0.9779708901047813,0.9354861781640025,0.9399921324607518,0.8811643958087473,0.8830239959947073,0.981618567392626,0.9870185602403175,0.8938955047741659,0.8322426063011837,0.9951006687408361,0.8764081107177342,0.925186854057147,0.8753352644566034,0.9486106640918356,0.7586095912455745,0.9790079748238744,0.8857061116475342,0.8810571111826342,0.8157207738797697,0.8511962235811609,0.9908092836963129,0.9989986768229446
BQLHLP104ANF,0.8938955047741659,0.9971033150949469,0.9651682580552874,0.867932625254801,0.0,0.9040517827128706,0.8508743697028216,0.978936451739799,0.9022279440689482,0.909237206308336,0.8351392912062369,0.9736079819761828,0.8318849908808068,0.9441404713371241,0.9309802238672532,0.9861245216893753,0.8403604763437399,0.8762650645495834,0.9912384222007653,0.8582412473625862,0.8843829345921396,0.931230554661517,0.9666344812788328,0.9737510281443336,0.8577048242320209,0.8442584844258484,0.8869577656188535,0.9144583914458392,0.9122411758395021,0.8830239959947073,0.8808783034724458,0.9558344955834496,0.8626399170332225,0.9681007045023782,0.8548796624110432,0.9628079962807996,0.821156528269499,0.9927404069663484,0.990451668275936,0.9883059757536745,0.8668240174516325,0.8110002503307943,0.9554768801630726,0.894110074026392,0.9954940457032507,0.983478167578586,0.9205020920502092,0.8779816185673927,0.8984014590709152,0.929370954475557,0.9940993455637807,0.9864821371097522,0.9176769302292315,0.975217251367879,0.9575868111432965,0.9899510066874083,0.971033150949469,0.9892715373886922,0.9584093266101634,0.9911311375746522,0.994063584021743,0.9874834602868076,0.9932768300969138,0.9940993455637807,0.985337767764546,0.9890927296785037,0.9895933912670314,0.983943067625076,0.9856953831849229,0.9924543146300469,0.9949218610306476,0.9905947144440869,0.9879483603332976,0.9764331437971605,0.9800808210850052,0.8673604405821979,0.9876622679969961,0.9936344455172907,0.9794728748703644,0.9918106068733684,0.8784465186138827,0.9438901405428602,0.9395272324142617,0.9669920966992097,0.9833351214104352,0.9811894288881736,0.9712119586596574,0.9808675750098345,0.9933483531809891,0.9983192075242284
BQLHLP105ANF,0.8402174301755891,0.9233987769552623,0.8725458641776633,0.7605407145156099,0.9040517827128706,0.0,0.8210850051854236,0.9050888674319637,0.8638200479204663,0.6748202982512606,0.8612452168937524,0.9111683295783715,0.8680399098809141,0.6923076923076923,0.867932625254801,0.9777563208525551,0.8226227514930444,0.6716017594678683,0.8597074705861317,0.8076744269212889,0.9064835675714337,0.4983013267532096,0.9277974466258985,0.7066838322068447,0.8411114687265315,0.8688981868898187,0.9019776132746844,0.9260451310660516,0.8410041841004184,0.8648213710975218,0.8777312877731288,0.9544040339019418,0.8016307263169188,0.7114758788398956,0.9006901977613274,0.8872080964131174,0.797196295104245,0.9231484461609984,0.7618638915710045,0.9128491220541429,0.8218717591102528,0.7346493580803204,0.8787683724922218,0.92157493831134,0.9746808282373136,0.8417194149411723,0.9028001287415514,0.7096520401959733,0.8955762972499374,0.911919321961163,0.9623430962343096,0.9034438364982298,0.9124915066337661,0.741908951113972,0.8579909165683224,0.7770983084790616,0.8541286700282517,0.7284626113077995,0.6857275685727569,0.8705789793655903,0.7875406787540679,0.8632478632478633,0.9626291885706112,0.7912241175839502,0.8676822944605371,0.8318134677967314,0.7183420949111325,0.867467725208311,0.9264742695705038,0.8783392339877696,0.8395021993348353,0.8898186889818689,0.8709008332439295,0.9191073919107392,0.9339841933984193,0.835461145084576,0.717591102528341,0.990916568322426,0.8602081321746594,0.8260916210707006,0.8661445481529163,0.8844186961341773,0.7533884061080713,0.9449629868039909,0.7289632728963273,0.8514107928333869,0.7342559811179058,0.8424704073239638,0.9277259235418231,0.9897721989772199
BQLHLP106ANF,0.7131209097736294,0.8646425633873333,0.6271144011729786,0.585058827736652,0.8508743697028216,0.8210850051854236,0.0,0.6801487680148768,0.8965418588849551,0.8987948360333298,0.532346314773093,0.9302292314844616,0.8566319779708901,0.6548295962521904,0.6467832492937096,0.9747165897793513,0.7203089797232056,0.4443371598183314,0.5770124807781711,0.339770410900118,0.6358759789722133,0.9169259378464399,0.9314808854557809,0.8529485391410078,0.806494296034045,0.8123591889282266,0.8937166970639774,0.9129206451382184,0.8948968279512213,0.5757608268068519,0.779959231842077,0.9571219110968064,0.29345921396130603,0.8538783392339878,0.8059221113614419,0.5619568715803025,0.6395951793441333,0.9888066373422022,0.763437399420663,0.7442692128884597,0.26409898794836034,0.7392983585452205,0.7693380538568823,0.9004756285091013,0.9884847834638629,0.8015949647748811,0.9294424775596324,0.5045953581518435,0.8975431820620106,0.9193219611629654,0.9905589529020491,0.5730429496119873,0.9179987841075707,0.9622715731502343,0.9491113256803634,0.9866609448199406,0.5615992561599256,0.5863820047920466,0.5493330472409971,0.5776919500768873,0.9880556449594107,0.7433751743375174,0.9790437363659121,0.9512927797446626,0.7588241604978007,0.9875192218288452,0.7896863712763295,0.8087115116403819,0.9735364588921074,0.9886993527160891,0.9928476915924614,0.5767263884418696,0.576905196152058,0.9755748667882559,0.9784357901512714,0.8871365733290419,0.8782319493616565,0.9914529914529915,0.7021778779100954,0.979758967206666,0.869327325394271,0.9423166326932018,0.7329685656045488,0.9652397811393627,0.9310159854092909,0.6555805886349819,0.6091621070700569,0.6517183420949111,0.9824768444015306,0.9982119228981153
BQLHLP107ANF,0.8044558881378965,0.8647498480134463,0.48682187175911024,0.8681829560490648,0.978936451739799,0.9050888674319637,0.6801487680148768,0.0,0.9786503594034974,0.9738940743124843,0.983478167578586,0.9329471086793263,0.7838214783821479,0.6876586918427923,0.4820655866680971,0.7801738010943032,0.8714014948324572,0.6820083682008368,0.6921288845975039,0.45030933733862605,0.6925937846439939,0.965204019597325,0.7365089582662805,0.8563101240925509,0.9851589600543575,0.7832135321675071,0.7801022780102278,0.45134642205771913,0.6540070807853234,0.9801523441690806,0.9790437363659121,0.7687658691842792,0.6822586989951007,0.6810428065658192,0.7884704788470479,0.6855129993205307,0.8346028680756714,0.9936344455172907,0.6212137467367593,0.7470586131673997,0.6812216142760076,0.9791867825340629,0.5963237134785252,0.7896506097342918,0.5620283946643779,0.8063512498658942,0.9439616636269356,0.9787218824875729,0.3811822765797661,0.7777062546937024,0.7771340700210994,0.68862425347781,0.986267567857526,0.9639523656260058,0.9805814826735328,0.988592068089976,0.6801130064728391,0.6878374995529807,0.6799341987626506,0.694095769409577,0.9370954475556986,0.6010084754854629,0.5497264242034117,0.8363194220934806,0.762507599327683,0.9881629295855238,0.7910453098737618,0.8095340271072489,0.9814397596824375,0.5544827092944248,0.7931910023960234,0.2593069413153095,0.6905196152058076,0.9824053213174552,0.982083467439116,0.9791867825340629,0.8788041340342596,0.7787075778707578,0.7060043629081286,0.7832492937095448,0.9566927725923542,0.9710689124915066,0.6365554482709295,0.9783642670671959,0.9327683009691378,0.689661338196903,0.6770732753996352,0.6815792296963845,0.9888781604262776,0.9996066230375854
BQLHLP108ANF,0.9160318992954977,0.9971033150949469,0.9531881414726603,0.8985445052390659,0.9022279440689482,0.8638200479204663,0.8965418588849551,0.9786503594034974,0.0,0.8512677466652362,0.7998068876729965,0.9768622823016129,0.9033365518721167,0.9277259235418231,0.9445696098415763,0.9800808210850052,0.8764796338018095,0.9016199978543075,0.963237134785252,0.875728641419018,0.9164967993419876,0.9323391624646855,0.9673854736616243,0.9466080177377248,0.9078067446268283,0.9179987841075707,0.914243822193613,0.9280120158781247,0.9098809140650145,0.6094839609483961,0.8852412116010442,0.9483960948396095,0.9016557593963451,0.9651324965132496,0.9235060615813754,0.874906125952151,0.908307406215356,0.9596609805814826,0.9915602760791046,0.6839037299288345,0.8840968422558381,0.8862067732360619,0.9583735650681258,0.9191789149948145,0.9954225226191753,0.7018202624897185,0.931230554661517,0.8874226656653434,0.9209312305546615,0.9290848621392555,0.9931695454708007,0.9777205593105175,0.9236848692915639,0.9438186174587848,0.9093802524764868,0.9599470729177842,0.9395629939562994,0.9794013517862891,0.9356292243321532,0.9646675964667596,0.6596931659693166,0.9593391267031435,0.9740371204806352,0.9845867753817544,0.9522225798376426,0.9804384365053821,0.9616278653935558,0.9524013875478311,0.958588134320352,0.9929907377606122,0.9947788148624969,0.9623788577763474,0.9546543646962057,0.9502556950255695,0.9466437792797625,0.7721632156778601,0.9549046954904695,0.9913457068268784,0.8173658048135035,0.9924900761720845,0.8802345957157672,0.8989021206594429,0.9221828845259807,0.9353788935378894,0.9509709258663234,0.9452848406823302,0.9418159711046741,0.9530093337624719,0.9632013732432142,0.9983192075242284
BQLHLP109ANF,0.888638558094625,0.9967814612166077,0.9457497407288202,0.8318134677967314,0.909237206308336,0.6748202982512606,0.8987948360333298,0.9738940743124843,0.8512677466652362,0.0,0.8518041697958016,0.9498265565211171,0.9000822515466866,0.6810428065658192,0.9448914637199156,0.9645960733826843,0.8414690841469085,0.683617637592533,0.9205736151342846,0.8794836033329757,0.905160390516039,0.5654972642420342,0.9633086578693273,0.2962843757822837,0.8970425204734828,0.9088080678038837,0.9088080678038837,0.9304438007366878,0.8936809355219397,0.8515896005435755,0.8363194220934806,0.9450345098880664,0.8668597789936702,0.7978042413188857,0.9126703143439545,0.9563351571719773,0.9110610449522584,0.9278689697099739,0.4685119622358116,0.977184136179952,0.8880306118799842,0.42295175767979115,0.9586596574044273,0.9259020848979008,0.99488609948861,0.8312055215820906,0.9308014161570647,0.6486428494796695,0.8579909165683224,0.913314022100633,0.9654543503915889,0.977541751600329,0.9224689768622824,0.4110431641812395,0.8660372635268033,0.4522762221506991,0.8982584129027643,0.44333583664127596,0.572721095733648,0.9254371848514108,0.7556771447984837,0.9196438150413045,0.9727854665093159,0.6757500983442406,0.8484783463862962,0.3682008368200837,0.31069627722347387,0.8982941744448021,0.918892822658513,0.8853484962271573,0.8397167685870615,0.9619854808139326,0.9120981296713514,0.9136358759789722,0.8403604763437399,0.780316847262454,0.40392661731573865,0.9913457068268784,0.829882344526696,0.7621142223652684,0.7766691699746093,0.7957658334227372,0.8231234130815721,0.8693988484783464,0.3008976147051461,0.8440439151736223,0.8062797267818188,0.9171047455566284,0.9246146693845438,0.9978185459357007
BQLHLP110ANF,0.8804134034259558,0.9969602689267961,0.9532954260987734,0.6672746128813074,0.8351392912062369,0.8612452168937524,0.532346314773093,0.983478167578586,0.7998068876729965,0.8518041697958016,0.0,0.91925043807889,0.8175803740657297,0.92901333905518,0.9382040553588671,0.9905589529020491,0.662661373958445,0.8428995458284161,0.9774344669742159,0.7223116260773165,0.6310839323391625,0.925866323355863,0.9676000429138505,0.9686371276329435,0.7988413260379787,0.8133962736473197,0.8853484962271573,0.9115974680828237,0.8999034438364982,0.4818152558738333,0.7380109430318635,0.9590530343668419,0.6661302435361013,0.9685656045488682,0.8009154954761649,0.8854200193112327,0.7366520044344312,0.9783285055251583,0.9915245145370668,0.9289060544290669,0.6528269498980797,0.7012838393591532,0.9561205879197511,0.8947180202410328,0.9953509995351,0.9110252834102206,0.9130994528484069,0.5511211243428816,0.9034795980402675,0.9169974609305154,0.9934556378071022,0.9777920823945928,0.9192146765368523,0.9676715659979258,0.9204663305081715,0.9745735436112005,0.9644887887565712,0.9841933984193398,0.9495404641848156,0.9791152594499875,0.9186424918642492,0.9731430819296928,0.979866251832779,0.9845510138397168,0.976611951507349,0.9855880985588099,0.9797947287487037,0.9763973822551228,0.9714622894539212,0.9925973607981976,0.9948503379465723,0.9774344669742159,0.9794371133283267,0.9640596502521188,0.9711761971176197,0.76844401530594,0.9797232056646282,0.9913457068268784,0.9092014447662983,0.9927046454243107,0.8588134320351893,0.925651754103637,0.9307298930729893,0.9547258877802811,0.9751099667417659,0.9722848049207882,0.9624861424024604,0.969745735436112,0.9784357901512714,0.9978543074777384
BQLHLP111ANF,0.6413832564460179,0.9020133748167221,0.9276901619997854,0.8763008260916211,0.9736079819761828,0.9111683295783715,0.9302292314844616,0.9329471086793263,0.9768622823016129,0.9498265565211171,0.91925043807889,0.0,0.9579086650216357,0.9180345456496084,0.9051961520580768,0.9510424489503987,0.9625934270285734,0.9268676465329185,0.9453206022243679,0.9235775846654508,0.9641311733361942,0.9599828344598219,0.9392769016199979,0.9402782247970533,0.9366663090512463,0.954153703107678,0.9749311590315775,0.9784000286092336,0.9512927797446626,0.9749669205736151,0.9580874727318242,0.9414941172263348,0.92482923863677,0.9251153309730715,0.9702463970246397,0.928441154382577,0.9221113614419054,0.9903086221077853,0.9379537245646032,0.9458212638128957,0.9196438150413045,0.9718914279583736,0.9279047312520116,0.9768622823016129,0.9972821228051354,0.9481815255873833,0.9382755784429425,0.9725708972570897,0.9266530772806923,0.9352716089117763,0.9915960376211422,0.9443192790473125,0.9738583127704467,0.9717841433322605,0.9740728820226728,0.9900582913135214,0.9362014090047562,0.9473232485784787,0.893752458606015,0.9502556950255695,0.9913099452848407,0.9456782176447448,0.9851947215963952,0.9544755569860173,0.9488609948860995,0.9933483531809891,0.9472159639523656,0.9501126488574188,0.9826198905696814,0.9860887601473376,0.9915602760791046,0.9490755641383256,0.951006687408361,0.9856596216428852,0.9891284912205415,0.9667417659049459,0.9475378178307049,0.9964238457962308,0.9452133175982549,0.9791867825340629,0.9733218896398813,0.9734649358080321,0.9212530844330008,0.9838000214569252,0.9439259020848979,0.9493974180166649,0.9328755855952509,0.9375603476021886,0.9927046454243107,0.9974251689732861
BQLHLP112ANF,0.891213389121339,0.9941708686478561,0.5597038944319279,0.8516253620856131,0.8318849908808068,0.8680399098809141,0.8566319779708901,0.7838214783821479,0.9033365518721167,0.9000822515466866,0.8175803740657297,0.9579086650216357,0.0,0.9271895004112577,0.4432643135572006,0.5970747058613167,0.6791116832957838,0.8841326037978757,0.9952079533669492,0.8570611164753424,0.579015127132282,0.9193219611629654,0.4797053248936094,0.9854808139326968,0.8594213782498301,0.5001966884812074,0.38636770017523153,0.5136430282873797,0.6604799198941458,0.8804849265100311,0.8795908879590888,0.5612416407395487,0.8460823230697707,0.7797089010478132,0.4978006651646819,0.9607338268426134,0.6863712763294353,0.9351643242856632,0.869220040768158,0.9934198762650646,0.8562386010084755,0.830812144619676,0.46389872331294923,0.5011980116582627,0.9952079533669492,0.994528484068233,0.8457604691914316,0.8917140507098666,0.699209669920967,0.6012945678217645,0.5972535135715052,0.9913457068268784,0.9055895290204914,0.9833708829524729,0.9505060258198333,0.9933483531809891,0.983478167578586,0.9989271537388692,0.9579444265636734,0.99767549976755,0.944498086757501,0.9906304759861245,0.9964238457962308,0.9968887458427207,0.9936344455172907,0.9976039766834746,0.9987483460286808,0.9902013374816722,0.9904874298179738,0.9915960376211422,0.5999713907663698,0.9946357686943461,0.9984622536923792,0.9850874369702821,0.9915602760791046,0.8740478489432464,0.9983549690662661,0.5104244895039874,0.9882702142116369,0.5968243750670529,0.8890319350570397,0.9507921181561348,0.7985552337016772,0.9819404212709653,0.9940278224797053,0.9919536530415192,0.9799020133748167,0.9737867896863712,0.9979973536458893,0.9960304688338161
BQLHLP113ANF,0.7770625469370239,0.8653220326860495,0.652540857561778,0.7671923613346208,0.9441404713371241,0.6923076923076923,0.6548295962521904,0.6876586918427923,0.9277259235418231,0.6810428065658192,0.92901333905518,0.9180345456496084,0.9271895004112577,0.0,0.6654507742373851,0.961592103851518,0.889568358187605,0.4768801630726317,0.6935951078210493,0.6422415334549226,0.9417444480205986,0.7321102885956442,0.9282265851303508,0.6634481278832743,0.9537245646032257,0.9390623323677717,0.9467510639058756,0.9643099810463828,0.9280477774201623,0.9306226084468763,0.9301577084003863,0.953223903014698,0.6345528019168186,0.6909845152522976,0.9224689768622824,0.6796838679683868,0.8302757214891107,0.9841218753352644,0.562493294710868,0.7452705360655152,0.6465686800414834,0.7553195293781068,0.7674784536709223,0.9602689267961234,0.9953867610771376,0.7985194721596395,0.9053749597682652,0.770410900118013,0.8638558094625041,0.9004756285091013,0.964739119550835,0.6906626613739585,0.9280835389622001,0.7759539391338555,0.9293351929335193,0.8002360261774488,0.6799699603046884,0.49951721918249115,0.4722311626077316,0.6944891463719916,0.8250187748095698,0.7393341200872582,0.9740013589385974,0.7653685226906984,0.7563208525551621,0.8022386725315596,0.6052640989879483,0.8059578729034796,0.970210635482602,0.879447841790938,0.8386439223259307,0.6941315309516146,0.6952043772127454,0.9743589743589743,0.9763616207130852,0.8937166970639774,0.6925222615599185,0.9910596144905768,0.7014626470693416,0.7966598719736795,0.9477881486249687,0.9479669563351572,0.5942853055823767,0.9707112970711297,0.7462360977005329,0.69187855380324,0.5835568429710689,0.6467832492937096,0.9790794979079498,0.9993205307012838
BQLHLP114ANF,0.7700532846976361,0.8570253549333047,0.19511497335765118,0.826735328827379,0.9309802238672532,0.867932625254801,0.6467832492937096,0.4820655866680971,0.9445696098415763,0.9448914637199156,0.9382040553588671,0.9051961520580768,0.4432643135572006,0.6654507742373851,0.0,0.4939741801666488,0.8315631370024675,0.6476415263026142,0.6977434466974216,0.6446733183134857,0.6948110002503308,0.9298000929800093,0.3422379573007188,0.8584200550727747,0.9467153023638379,0.6046561527733075,0.35332403533240353,0.5170761363229982,0.6986017237063262,0.945427886850481,0.9438901405428602,0.4715159317669778,0.6413474949039802,0.6704216285806244,0.6174230232807638,0.6689911668991166,0.7215248721524872,0.9954582841612131,0.6451382183599756,0.746093051532382,0.6449594106497872,0.934484854986947,0.19293351929335192,0.4642205771912885,0.9920251761255945,0.8098916425276258,0.8951829202875228,0.9444623252154632,0.7415870972356328,0.6507885420019311,0.502556950255695,0.6935951078210493,0.9394199477881486,0.9718199048742981,0.9653113042234381,0.9925615992561599,0.6846189607695884,0.7003182777241355,0.6658799127418374,0.6975646389872331,0.9379537245646032,0.7450917283553267,0.9810106211779852,0.9530093337624719,0.7681579229696385,0.9967099381325323,0.7993777491685441,0.8135035582734328,0.9807245288416837,0.9846225369237922,0.5119979973536459,0.6938454386153131,0.700032185387834,0.9814039981403998,0.9894861066409184,0.9380610091907163,0.8866716732825519,0.40596502521188715,0.7120480635124986,0.4926152415692165,0.9388835246575833,0.9481457640453457,0.608446876229303,0.9801165826270429,0.9394557093301863,0.6986732467904015,0.6869792225440761,0.6853699531523799,0.9910953760326146,0.9994635768694347
