,BQLHLP100GUT,BQLHLP101GUT,BQLHLP102GUT,BQLHLP103GUT,BQLHLP104GUT,BQLHLP105GUT,BQLHLP106GUT,BQLHLP107GUT,BQLHLP108GUT,BQLHLP109GUT,BQLHLP110GUT,BQLHLP111GUT,BQLHLP112GUT,BQLHLP113GUT,BQLHLP114GUT,BQLHLP115GUT,BQLHLP116GUT,BQLHLP117GUT,BQLHLP118GUT,BQLHLP66GUT,BQLHLP67GUT,BQLHLP68GUT,BQLHLP69GUT,BQLHLP70GUT,BQLHLP71GUT,BQLHLP72GUT,BQLHLP73GUT,BQLHLP74GUT,BQLHLP75GUT,BQLHLP76GUT,BQLHLP77GUT,BQLHLP78GUT,BQLHLP79GUT,BQLHLP80GUT,BQLHLP81GUT,BQLHLP82GUT,BQLHLP83GUT,BQLHLP84GUT,BQLHLP85GUT,BQLHLP86GUT,BQLHLP87GUT,BQLHLP88GUT,BQLHLP89GUT,BQLHLP90GUT,BQLHLP91GUT,BQLHLP92GUT,BQLHLP93GUT,BQLHLP94GUT,BQLHLP95GUT,BQLHLP96GUT,BQLHLP97GUT,BQLHLP98GUT,BQLHLP99GUT,BQLHSO100GUT,BQLHSO101GUT,BQLHSO102GUT,BQLHSO76GUT,BQLHSO77GUT,BQLHSO78GUT,BQLHSO79GUT,BQLHSO80GUT,BQLHSO81GUT,BQLHSO82GUT,BQLHSO83GUT,BQLHSO84GUT,BQLHSO85GUT,BQLHSO86GUT,BQLHSO87GUT,BQLHSO88GUT,BQLHSO90GUT,BQLHSO91GUT,BQLHSO92GUT,BQLHSO93GUT,BQLHSO94GUT,BQLHSO95GUT,BQLHSO96GUT,BQLHSO97GUT,BQLHSO98GUT,BQLHSO99GUT,HULP63GUT,HULP64GUT,HULP65GUT,HULP66GUT,HULP68GUT,HULP69GUT,HULP70GUT,HULP71GUT
BQLHLP100GUT,0.0,0.9346279011550979,0.9092014447662983,0.4932589493258949,0.9798304902907413,0.813825412151772,0.6763580445588814,0.780316847262454,0.9965311304223438,0.9856238601008476,0.7484533133068698,0.9676000429138505,0.951364302828738,0.5062046275435397,0.7580731681150091,0.7125844866430641,0.6426706719593749,0.9756106283302936,0.9953152379930622,0.564460179522941,0.5673211028859565,0.9721417587526374,0.9057325751886421,0.6799341987626506,0.9755391052462182,0.8634266709580517,0.8087115116403819,0.6238958623895863,0.785788363194221,0.9719629510424489,0.6421342488288095,0.8030611879984265,0.6828666452097415,0.8843829345921396,0.9782927439831206,0.9944211994421199,0.9943496763580446,0.9992490076172085,0.8330293602260129,0.3889067696599077,0.883989557629725,0.5003397346493581,0.8797339341272395,0.37081142938883527,0.9507205950720595,0.9538676107713765,0.8314558523763544,0.630547509208597,0.9735006973500697,0.7136215713621571,0.7840718091764117,0.7871830633336909,0.4801344633980617,0.6521474805993634,0.5481171548117155,0.8431141150806423,0.5337767764546008,0.36752136752136755,0.9629510424489504,0.6812573758180452,0.8255551979401352,0.9044451596752852,0.7223116260773165,0.5898151128276651,0.6628759432106712,0.8586703858670386,0.9593033651611057,0.9890927296785037,0.7991274183742803,0.8266995672853413,0.9453563637664056,0.3432392804777742,0.989056968136466,0.9978185459357007,0.9762543360869721,0.8624253477809963,0.9838715445410006,0.9901298143975968,0.905160390516039,0.7816400243178486,0.6979937774916855,0.9979615921038515,0.9680649429603404,0.7702678539498623,0.8063870114079319,0.7797804241318885,0.9957086149554769
BQLHLP101GUT,0.9346279011550979,0.0,0.9635232271215535,0.889103458141115,0.7704466616600508,0.8988305975753674,0.932160354754497,0.9513285412867003,0.9856596216428852,0.9819404212709653,0.9135643528948968,0.9387047169473948,0.7924757715552695,0.8951113972034475,0.8397167685870615,0.8726889103458141,0.9129206451382184,0.9864463755677145,0.9934556378071022,0.7951221256660587,0.9479311947931195,0.8126095197224904,0.9542967492758287,0.6923792153917677,0.8141472660301112,0.8165432893466367,0.7235632800486357,0.8531988699352716,0.8642491864249187,0.8007366877659765,0.9790794979079498,0.9213961306011516,0.7547473447055038,0.8985087436970283,0.6178879233272538,0.9776847977684798,0.9547616493223188,0.9828344598219075,0.857454493437757,0.8795193648750134,0.8401459070915138,0.796016164217001,0.8530200622250832,0.8755855952508672,0.7051103243571862,0.8630332939956371,0.8561313163823624,0.915745806959196,0.6102707148732254,0.5705396416693488,0.698279869827987,0.9010478131817043,0.8092121732289096,0.8634624325000894,0.9427815327396918,0.9021206594428351,0.9170689840145907,0.7995923184207703,0.7876837249222186,0.9073418445803383,0.9106676679898438,0.8982226513607267,0.7354003504631119,0.815577727711619,0.7770983084790616,0.9056610521045667,0.6278653935557701,0.8162571970103351,0.9521868182956049,0.7201301720130172,0.9332332010156278,0.9309087007831778,0.9187140149483246,0.940886171011694,0.9546901262382433,0.8048135035582734,0.9583735650681258,0.9818688981868898,0.8615670707720917,0.796838679683868,0.9313020777455924,0.9524013875478311,0.9465007331116118,0.8946822586989951,0.807888996173515,0.9004041054250259,0.9981761613560777
BQLHLP102GUT,0.9092014447662983,0.9635232271215535,0.0,0.7425168973286128,0.9822980366913421,0.973000035761542,0.6674534205914959,0.9850516754282445,0.9407788863855809,0.9814755212244752,0.9626649501126489,0.9737867896863712,0.9729285126774666,0.9810106211779852,0.9860529986052998,0.9835496906626614,0.8570611164753424,0.9743232128169367,0.9859814755212245,0.9816543289346636,0.9936702070593284,0.934484854986947,0.9825126059435683,0.8683260022172156,0.9375603476021886,0.9555484032471481,0.9795801594964775,0.9957086149554769,0.9984264921503415,0.9961377534599292,0.9997139076636985,0.9862318063154883,0.9875192218288452,0.993241068554876,0.9901298143975968,0.972892751135429,0.9012981439759682,0.9978543074777384,0.7170904409398133,0.9931337839287631,0.991739083789293,0.9794371133283267,0.991381468368916,0.8707577870757787,0.9516146336230018,0.9911668991166899,0.783678432213997,0.6871580302542646,0.9908092836963129,0.9883774988377498,0.9898079605192576,0.986267567857526,0.9964238457962308,0.8199406358402175,0.9447484175517649,0.9756463898723313,0.9970675535529092,0.9877695526231091,0.9742159281908236,0.7076136322998248,0.9960304688338161,0.9665629581947573,0.968923219969245,0.9793298287022136,0.8589922397453779,0.9785073132353467,0.9897006758931445,0.9954225226191753,0.9871258448664306,0.9885205450059007,0.9902013374816722,0.9923827915459714,0.92529413868326,0.9717841433322605,0.9888423988842399,0.9847298215499052,0.9898437220612952,0.9858741908951114,0.9742516897328612,0.9537603261452634,0.9850874369702821,0.9956728534134391,0.9850874369702821,0.9713550048278081,0.9516861567070772,0.9979973536458893,0.9963165611701177
BQLHLP103GUT,0.4932589493258949,0.889103458141115,0.7425168973286128,0.0,0.9726424203411651,0.8113936272932089,0.3521439044451597,0.8233379823337982,0.9960304688338161,0.9856238601008476,0.5610270714873226,0.9715695740800343,0.9439974251689733,0.6506812573758181,0.7931910023960234,0.7814612166076601,0.4524550298608876,0.9691020276794335,0.9871258448664306,0.7057897936559024,0.7108679326252548,0.9807602903837214,0.9049458212638128,0.68629975324536,0.9795801594964775,0.684654722311626,0.8322426063011837,0.5209741444051067,0.7927976254336087,0.9930980223867253,0.7163394485570218,0.7210957336480349,0.49161391839216106,0.9054822443943783,0.8046704573901227,0.9871616064084683,0.9762543360869721,0.9935271608911777,0.49372384937238495,0.7121553481386117,0.888638558094625,0.6918427922612023,0.7095447555698602,0.31044594642921003,0.9438543790008225,0.7947645102456818,0.5186496441726567,0.5579873404141187,0.9777920823945928,0.6338733326181025,0.8405035225118908,0.7309301577084004,0.6388441869613418,0.44544576762149984,0.7970890104781319,0.6757143368022029,0.7129063405214033,0.5692164646139541,0.9751814898258413,0.33909094160140185,0.6749991059614491,0.7272824804205558,0.5615992561599256,0.5461860315416801,0.4858563101240925,0.6893037227765261,0.9855165754747345,0.8009870185602403,0.8579551550262847,0.8117154811715481,0.9413868326002217,0.569931695454708,0.9969960304688338,0.993241068554876,0.9869112756142044,0.8574902549797947,0.9906662375281622,0.9978900690197762,0.7227050030397311,0.8278796981725852,0.7237420877588242,0.991739083789293,0.9857311447269607,0.658834888960412,0.7398347816757859,0.8485856310124092,0.9997496692057362
BQLHLP104GUT,0.9798304902907413,0.7704466616600508,0.9822980366913421,0.9726424203411651,0.0,0.9845152522976791,0.9707112970711297,0.9643457425884204,0.9765046668812359,0.9001895361727997,0.9724636126309767,0.9719629510424489,0.8258412902764367,0.8993670207059329,0.9527947645102457,0.9167113685942138,0.9575510496012588,0.9304795622787254,0.9695669277259236,0.9859814755212245,0.9166040839681007,0.5982905982905983,0.9557987340414119,0.6736759289060544,0.5697171262024818,0.9561563494617888,0.8942531201945428,0.9240782462539785,0.9538676107713765,0.6242534778099632,0.9975682151414369,0.9772198977219898,0.9537245646032257,0.9469656331581018,0.8796981725852019,0.9049815828058506,0.9195007688731538,0.9685656045488682,0.9885563065479384,0.8221220899045166,0.92901333905518,0.965204019597325,0.981260951972249,0.9766834745914243,0.7450202052712513,0.9152451453706684,0.978006651646819,0.9135285913528591,0.6437792797625433,0.9037299288345313,0.7716625540893324,0.9754675821621428,0.9703894431927905,0.9407431248435433,0.9869827986982799,0.9892000143046168,0.9313020777455924,0.7853949862318064,0.7779565854879662,0.9832278367843221,0.9386689554053571,0.9739655973965597,0.9556914494152988,0.9722490433787505,0.9931695454708007,0.8685405714694417,0.8562743625505131,0.9929192146765369,0.9982476844401531,0.9920251761255945,0.9979258305618138,0.9714265279118836,0.9841218753352644,0.927511354289597,0.9063047598612453,0.7609698530200623,0.9771483746379144,0.9681007045023782,0.9976397382255123,0.904123305796946,0.9766477130493867,0.9674927582877374,0.9665271966527197,0.9756106283302936,0.9882344526695991,0.9409576940957695,0.9996423845796231
BQLHLP105GUT,0.813825412151772,0.8988305975753674,0.973000035761542,0.8113936272932089,0.9845152522976791,0.0,0.8737975181489825,0.8524121160104424,0.983013267532096,0.965204019597325,0.9148160068662161,0.9753602975360297,0.8366055144297823,0.8030969495404642,0.39466437792797626,0.6772520831098237,0.9114901834567106,0.6616600507813897,0.9358080320423416,0.92018023817187,0.8667167328255194,0.9744662589850874,0.91506633766048,0.7669777920823946,0.970675535529092,0.7709830847906162,0.8571684011014555,0.8242677824267782,0.44290669813682365,0.6402746486428494,0.6995315237993063,0.7870400171655402,0.7678360690912992,0.3783213532167507,0.9916675607052176,0.4578907842506169,0.9716768587061474,0.9951721918249115,0.8971140435575582,0.935307370453814,0.39484318563816473,0.9157815685012338,0.8868504809927404,0.7881486249687086,0.9548331724063942,0.5025927117977327,0.8095340271072489,0.9379179630225656,0.9249722848049208,0.9175338840610807,0.817902227944069,0.791832063798591,0.8625326324071094,0.8098558809855881,0.8298108214426206,0.46876229303007544,0.9355934627901155,0.8226227514930444,0.9927761685083861,0.8092121732289096,0.9353788935378894,0.9369881629295855,0.7552837678360691,0.8292386367700175,0.8433644458749061,0.915638522333083,0.9737152666022959,0.9915245145370668,0.8711511640381934,0.895862389586239,0.866537925115331,0.8241604978006651,0.918892822658513,0.7333977041090012,0.4485570217787791,0.8358902835890284,0.9948145764045345,0.9723205664628258,0.9335192933519293,0.730393734577835,0.4041054250259271,0.9994993384114723,0.47065765475807314,0.8509816543289347,0.8092121732289096,0.34888960411972963,0.9955298072452884
BQLHLP106GUT,0.6763580445588814,0.932160354754497,0.6674534205914959,0.3521439044451597,0.9707112970711297,0.8737975181489825,0.0,0.9765404284232736,0.9927046454243107,0.9975324535993992,0.4743768551299932,0.9836569752887745,0.9552980724528841,0.689661338196903,0.868397525301291,0.8567035010549655,0.3538962200050066,0.9164252762579123,0.9480027178771948,0.7479884132603798,0.7705181847441261,0.940421270965204,0.9763258591710474,0.7176983871544541,0.983120552158209,0.6263991703322247,0.9768265207595751,0.6324428709365948,0.8662875943210672,0.9156027607910453,0.7094732324857848,0.8731895719343418,0.5799091656832243,0.9231484461609984,0.7844294245967887,0.9384186246110933,0.9528305260522834,0.9951006687408361,0.4487715910310053,0.7261738726173873,0.8253048671458714,0.752029467510639,0.6408468333154526,0.39316239316239315,0.9486464256338734,0.6407395486893395,0.414476272216858,0.5258019525801952,0.9764331437971605,0.6648070664807066,0.9226835461145084,0.816149912384222,0.7425884204126882,0.4602152844830669,0.9352716089117763,0.6270786396309409,0.7564281371812752,0.7260308264492364,0.9857669062689983,0.3206737474519901,0.5541250938740478,0.6256481779494332,0.592854843900869,0.5784787040017165,0.4801702249400994,0.5836283660551443,0.9722848049207882,0.7929764331437972,0.9978185459357007,0.8397525301290991,0.9459285484390086,0.7450202052712513,0.9752530129099167,0.9365947859671709,0.9247577155526946,0.8647498480134463,0.9806172442155706,0.9959947072917784,0.6710653363373028,0.9778993670207059,0.7920466330508171,0.991739083789293,0.9102742910274291,0.6950613310445947,0.7770983084790616,0.9250795694310339,0.99814039981404
BQLHLP107GUT,0.780316847262454,0.9513285412867003,0.9850516754282445,0.8233379823337982,0.9643457425884204,0.8524121160104424,0.9765404284232736,0.0,0.9983907306083039,0.9666344812788328,0.9768622823016129,0.9668848120730966,0.738082466115939,0.9223974537782069,0.8417194149411723,0.7660837535314523,0.9758251975825197,0.9541894646497157,0.9770053284697636,0.9765046668812359,0.9550477416586203,0.9766477130493867,0.8986160283231412,0.9097736294389014,0.973357651181919,0.9117405142509745,0.818939312663162,0.6904480921217323,0.809748596359475,0.99860529986053,0.9720344741265243,0.2198619604477345,0.8664306404892179,0.8503737081142939,0.7385831277044667,0.9712477202016951,0.9669920966992097,0.9989271537388692,0.9420663018989379,0.9767907592175374,0.9764689053391983,0.9762900976290098,0.9156027607910453,0.8553803239995709,0.9530450953045095,0.9779351285627437,0.9387762400314702,0.9755391052462182,0.9953509995351,0.974394735901012,0.6188177234202339,0.7024282087043593,0.9105961449057683,0.7727711618925008,0.6887315381039231,0.8560240317562493,0.9765404284232736,0.8080678038837035,0.9876622679969961,0.8575260165218325,0.9770053284697636,0.9701033508564889,0.8329578371419376,0.9697099738940743,0.8840610807138004,0.9404927940492794,0.9971033150949469,0.47577155526946324,0.7104030325787648,0.9768622823016129,0.9733934127239566,0.7116189250080464,0.9955298072452884,0.984407967671566,0.9877337910810714,0.936237170546794,0.9977827843936631,0.9976397382255123,0.9753602975360297,0.700032185387834,0.7329328040625112,0.9996781461216607,0.9962807996280799,0.6976719236133462,0.9415656403104102,0.7712691771269177,0.9976039766834746
BQLHLP108GUT,0.9965311304223438,0.9856596216428852,0.9407788863855809,0.9960304688338161,0.9765046668812359,0.983013267532096,0.9927046454243107,0.9983907306083039,0.0,0.9728569895933913,0.9855880985588099,0.9969602689267961,0.9947788148624969,0.8800557880055788,0.9790079748238744,0.991739083789293,0.9522583413796802,0.9922755069198583,0.9879483603332976,0.9829775059900583,0.9894861066409184,0.9875907449129206,0.9926331223402353,0.9853735293065837,0.8362478990094053,0.9680291814183027,0.9916317991631799,0.9939205378535922,0.9989271537388692,0.99953509995351,0.9874476987447699,0.9974966920573615,0.9916317991631799,0.9969960304688338,0.9957086149554769,0.9954582841612131,0.9822622751493044,0.9979615921038515,0.9982834459821908,0.9956728534134391,0.9932768300969138,0.965561635017702,0.9929192146765369,0.990916568322426,0.9958874226656653,0.9986410614025677,0.9981046382720022,0.9971748381790223,0.9597682652075957,0.9864106140256768,0.9829059829059829,0.9963165611701177,0.9989271537388692,0.9982476844401531,0.9930622608446876,0.9947430533204592,0.9897006758931445,0.9899510066874083,0.9974251689732861,0.9912026606587276,0.9979973536458893,0.9977827843936631,0.9886278296320137,0.9936344455172907,0.9984264921503415,0.9934198762650646,0.9933483531809891,0.9979973536458893,0.9791152594499875,0.9836212137467367,0.9946715302363838,0.9896649143511068,0.8593856167077925,0.9885563065479384,0.9979258305618138,0.9832278367843221,0.9657046811858527,0.9607695883846511,0.9967099381325323,0.9654543503915889,0.9466080177377248,0.9977112613095876,0.9919894145835568,0.9611629653470658,0.9676358044558881,0.9028716518256267,0.9988913921968315
BQLHLP109GUT,0.9856238601008476,0.9819404212709653,0.9814755212244752,0.9856238601008476,0.9001895361727997,0.965204019597325,0.9975324535993992,0.9666344812788328,0.9728569895933913,0.0,0.9977827843936631,0.9793655902442513,0.9967814612166077,0.9131352143904445,0.9800092980009298,0.9740013589385974,0.9947788148624969,0.9369881629295855,0.9677788506240389,0.9920966992096699,0.9659550119801166,0.9500411257733433,0.9930622608446876,0.9939562993956299,0.840110145549476,0.9961019919178915,0.9613060115152166,0.9941351071058184,0.9872331294925437,0.983478167578586,0.905518005936416,0.9788649286557236,0.998498015234417,0.9906662375281622,0.9944927225261954,0.8913206737474519,0.8870650502449665,0.9978185459357007,0.9995708614955476,0.9951006687408361,0.9821907520652291,0.9884132603797876,0.9985695383184923,0.9873046525766191,0.9623430962343096,0.9937417301434038,0.9965668919643815,0.9982119228981153,0.9703179201087151,0.9797232056646282,0.9491828487644387,0.9707470586131673,0.9997496692057362,0.9969245073847585,0.9960662303758538,0.9976039766834746,0.9948145764045345,0.9973178843471731,0.9733218896398813,0.9858741908951114,0.99814039981404,0.9915960376211422,0.9835854522046991,0.9949576225726854,0.9998927153738869,0.9401709401709402,0.989056968136466,0.9984622536923792,0.9620212423559704,0.9966741765904946,0.9923112684618961,0.9952079533669492,0.964739119550835,0.9511854951185496,0.8451167614347531,0.9047670135536244,0.9958516611236277,0.8812716804348604,0.9988913921968315,0.9522583413796802,0.9809033365518721,0.9995708614955476,0.9973894074312485,0.9900940528555592,0.9911668991166899,0.9822980366913421,0.9957086149554769
