,Selection Frecquency (%),Median (Non-0 coefs),IQR (Non-0 coefs),P-value (Permutation test)
Anaerosinus,0.0,NC,NC,NC
Arcobacter,0.2,0.007978866844209176,0.0010817260351593519,0.642
Atopobium,18.9,0.009518062329155388,0.010677791022587748,0.003
Bacteroides,1.5,-0.011574015278515903,0.01923543240636647,0.187
Dolosigranulum,4.1000000000000005,-0.010399101611010339,0.008488260291931555,0.046
Macellibacteroides,6.3,-0.008066254207104323,0.013066572728013433,0.061
Methanobrevibacter,0.1,0.005947839723942479,0.0,0.71
Wheezing episodes,0.0,NC,NC,NC
RSV,11.0,0.02175569646428089,0.0223503158356156,0.0
Breastfeeding,0.0,NC,NC,NC
Cesarean section_Yes,0.0,NC,NC,NC
Family history atopy,0.0,NC,NC,NC
Age,2.5,-0.005322413306956662,0.010966964037295657,0.224
AUC,24.6,0.7803308823529411,0.15464927421137442,0.002
