,Selection Frecquency (%),Median (Non-0 coefs),IQR (Non-0 coefs),P-value (Permutation test)
Anaerosinus,3.4000000000000004,0.013646369648946942,0.02309040635315126,0.571
Atopobium,4.9,-0.01785218045401258,0.023819729749384573,0.627
Bergeyella,2.6,-0.005107686376464424,0.022862646089059507,0.99
Bradyrhizobium,1.6,0.009909416393704781,0.01953326149810234,0.833
Candidatus_Competibacter,6.9,-0.02626107638654852,0.034735072963192365,0.464
Dolosigranulum,8.3,0.01634359217614832,0.018675780066343836,0.332
Faecalibacterium,3.6999999999999997,-0.008867248500930376,0.025318514505784914,0.875
Flavobacterium,12.2,-0.035690617311632644,0.04052937790663294,0.226
Megasphaera,4.8,-0.00889580458807913,0.03516327769252993,0.573
Methanosaeta,1.6,0.007716503036245659,0.012596851089135679,0.839
Phascolarctobacterium,11.700000000000001,-0.035494660788291284,0.030340894978707733,0.271
TM7x,35.9,-0.03415902583593103,0.0401357602270112,0.024
Trichococcus,5.6000000000000005,-0.0019134231703015828,0.0644663258104915,0.486
[Ruminococcus]_torques_group,3.0,-0.021396562453400863,0.024626297953344662,0.784
Wheezing treatment_Wheezing,0.1,0.08568590860133966,0.0,0.75
Breastfeeding,0.2,-0.03509585017945315,0.032477131936543085,0.553
C-section,4.2,0.06423490771605063,0.061703337036332476,0.051
Family history atopy,0.3,-0.06447325669855959,0.02934817893667941,0.698
Age,3.5999999999999996,0.012709685188873103,0.009063235653721245,0.626
AUC,48.5,0.5499999999999999,0.19345238095238093,0.539
