,Selection Frecquency (%),Median (Non-0 coefs),IQR (Non-0 coefs),P-value (Permutation test)
Actinobacillus,62.2,0.03657179818832629,0.055702042248732445,0.312
Anaerosinus,69.1,-0.04507884565338336,0.08055033355364974,0.26
Aquaspirillum,80.10000000000001,0.06636504326147136,0.07665329591407559,0.084
Blautia,90.4,-0.10257528788615006,0.08424091393344721,0.019
Bradyrhizobium,81.39999999999999,-0.06781115534270571,0.07802913574235988,0.106
Burkholderia-Caballeronia-Paraburkholderia,78.10000000000001,0.06145468805965288,0.08319280207783256,0.144
Comamonas,89.3,-0.10897038984783103,0.09141247780494073,0.022
Corynebacterium,50.7,-0.02751175277705851,0.054736556177479266,0.55
Dolosigranulum,45.5,-0.007342732271297592,0.06996052064239389,0.908
Lachnoanaerobaculum,68.2,0.04867084790597488,0.06311357688867833,0.22
Megasphaera,57.699999999999996,0.025867256427212163,0.04001528136869142,0.576
Methylobacterium-Methylorubrum,87.9,-0.10143674757027596,0.08009930163678505,0.022
Mycobacterium,69.0,0.04856260965023579,0.06754228308870093,0.204
[Ruminococcus]_torques_group,64.4,0.04149273542729481,0.07047788105744733,0.294
Respiratory syncytial virus_RSV,35.8,0.16786394672720473,0.20264200701473717,0.222
Breastfeeding,32.5,0.05395515089470525,0.19597024109043407,0.535
Cesarean section_Yes,38.9,0.08789611171522688,0.1583845197460488,0.346
Family history atopy,43.5,0.04503011688721381,0.1313928585932025,0.535
Age,90.5,-0.11022076736419,0.07350966960456855,0.019
AUC,96.7,0.6140350877192983,0.11291481673641124,0.041
