,Bacteroides,Dolosigranulum,BQL
BQLHLP100ANF,1.584962500721156,0.0,1
BQLHLP101ANF,0.0,0.0,1
BQLHLP102ANF,0.0,2.807354922057604,1
BQLHLP103ANF,0.0,2.0,1
BQLHLP104ANF,3.0,1.584962500721156,1
BQLHLP105ANF,6.066089190457772,1.584962500721156,1
BQLHLP106ANF,1.0,0.0,1
BQLHLP107ANF,0.0,0.0,1
BQLHLP108ANF,3.700439718141092,1.0,1
BQLHLP109ANF,3.0,2.584962500721156,1
BQLHLP110ANF,0.0,0.0,1
BQLHLP111ANF,1.584962500721156,2.0,1
BQLHLP112ANF,0.0,0.0,1
BQLHLP113ANF,3.700439718141092,2.584962500721156,1
BQLHLP114ANF,0.0,1.0,1
BQLHLP115ANF,0.0,0.0,1
BQLHLP116ANF,2.321928094887362,0.0,1
BQLHLP117ANF,0.0,0.0,1
BQLHLP118ANF,4.807354922057604,0.0,1
BQLHLP66ANF,1.0,4.643856189774724,1
BQLHLP67ANF,0.0,0.0,1
BQLHLP68ANF,0.0,0.0,1
BQLHLP69ANF,0.0,0.0,1
BQLHLP70ANF,2.584962500721156,3.584962500721156,1
BQLHLP71ANF,0.0,0.0,1
BQLHLP72ANF,0.0,0.0,1
BQLHLP73ANF,0.0,0.0,1
BQLHLP74ANF,1.584962500721156,0.0,1
BQLHLP75ANF,1.0,0.0,1
BQLHLP76ANF,2.321928094887362,0.0,1
BQLHLP77ANF,0.0,0.0,1
BQLHLP78ANF,0.0,7.787902559391432,1
BQLHLP79ANF,0.0,7.651051691178929,1
BQLHLP80ANF,1.0,0.0,1
BQLHLP81ANF,0.0,0.0,1
BQLHLP82ANF,0.0,2.584962500721156,1
BQLHLP83ANF,0.0,0.0,1
BQLHLP84ANF,6.930737337562887,0.0,1
BQLHLP85ANF,0.0,0.0,1
BQLHLP86ANF,1.584962500721156,3.584962500721156,1
BQLHLP87ANF,0.0,0.0,1
BQLHLP88ANF,2.0,5.247927513443585,1
BQLHLP89ANF,0.0,0.0,1
BQLHLP90ANF,0.0,2.807354922057604,1
BQLHLP91ANF,1.0,0.0,1
BQLHLP92ANF,5.832890014164741,0.0,1
BQLHLP93ANF,4.584962500721156,2.321928094887362,1
BQLHLP94ANF,6.491853096329675,0.0,1
BQLHLP95ANF,0.0,0.0,1
BQLHLP96ANF,0.0,0.0,1
BQLHLP97ANF,1.584962500721156,0.0,1
BQLHLP98ANF,0.0,0.0,1
BQLHLP99ANF,0.0,0.0,1
BQLHSO100ANF,7.845490050944375,7.285402218862249,1
BQLHSO101ANF,8.011227255423254,0.0,1
BQLHSO102ANF,2.807354922057604,0.0,1
BQLHSO76ANF,2.0,6.794415866350106,1
BQLHSO77ANF,0.0,4.643856189774724,1
BQLHSO78ANF,0.0,2.321928094887362,1
BQLHSO79ANF,2.0,4.169925001442312,1
BQLHSO80ANF,0.0,0.0,1
BQLHSO81ANF,0.0,0.0,1
BQLHSO82ANF,0.0,0.0,1
BQLHSO83ANF,0.0,0.0,1
BQLHSO84ANF,0.0,8.483815777264256,1
BQLHSO85ANF,1.0,9.622051819456376,1
BQLHSO86ANF,0.0,5.044394119358453,1
BQLHSO87ANF,1.584962500721156,7.562242424221073,1
BQLHSO88ANF,3.4594316186372973,0.0,1
BQLHSO89ANF,0.0,0.0,1
BQLHSO90ANF,1.584962500721156,0.0,1
BQLHSO91ANF,0.0,0.0,1
BQLHSO92ANF,0.0,0.0,1
BQLHSO93ANF,0.0,11.7402023887679,1
BQLHSO94ANF,2.321928094887362,11.568906154502084,1
BQLHSO95ANF,3.0,0.0,1
BQLHSO96ANF,0.0,6.768184324776926,1
BQLHSO97ANF,0.0,1.0,1
BQLHSO98ANF,0.0,9.784634845557521,1
BQLHSO99ANF,0.0,0.0,1
HULP62ANF,3.807354922057604,13.564030372201666,0
HULP63ANF,5.426264754702098,13.767149912284852,0
HULP64ANF,0.0,8.758223214726724,0
HULP65ANF,2.0,14.401212860915827,0
HULP66ANF,4.700439718141092,5.169925001442312,0
HULP67ANF,5.129283016944966,12.28424574982967,0
HULP68ANF,7.139551352398794,11.453270634010623,0
HULP69ANF,2.0,6.754887502163468,0
HULP70ANF,5.426264754702098,0.0,0
HULP71ANF,8.632995197142957,0.0,0
