,Anaerosinus,Bradyrhizobium,Dolosigranulum,Faecalibacterium,Methanosaeta,TM7x,RSV
BQLHLP100ANF,2.0,0.0,0.0,0.0,0.0,0.0,1
BQLHLP101ANF,0.0,0.0,0.0,0.0,0.0,0.0,1
BQLHLP102ANF,0.0,0.0,2.807354922057604,0.0,0.0,0.0,1
BQLHLP103ANF,0.0,0.0,2.0,0.0,1.0,2.0,1
BQLHLP104ANF,0.0,0.0,1.584962500721156,0.0,0.0,0.0,1
BQLHLP105ANF,5.0,0.0,1.584962500721156,4.523561956057013,3.584962500721156,1.0,1
BQLHLP106ANF,0.0,0.0,0.0,0.0,0.0,0.0,1
BQLHLP107ANF,0.0,0.0,0.0,0.0,0.0,0.0,1
BQLHLP108ANF,2.584962500721156,0.0,1.0,2.0,0.0,0.0,1
BQLHLP109ANF,2.321928094887362,0.0,2.584962500721156,0.0,1.584962500721156,0.0,1
BQLHLP110ANF,0.0,0.0,0.0,2.321928094887362,0.0,0.0,1
BQLHLP111ANF,0.0,0.0,2.0,0.0,0.0,0.0,1
BQLHLP112ANF,0.0,0.0,0.0,0.0,0.0,1.584962500721156,1
BQLHLP113ANF,1.0,0.0,2.584962500721156,1.584962500721156,0.0,0.0,1
BQLHLP114ANF,0.0,0.0,1.0,0.0,0.0,3.584962500721156,1
BQLHLP115ANF,0.0,1.584962500721156,0.0,0.0,0.0,0.0,1
BQLHLP116ANF,0.0,0.0,0.0,0.0,0.0,0.0,1
BQLHLP117ANF,0.0,0.0,0.0,0.0,1.0,0.0,1
BQLHLP118ANF,2.321928094887362,3.584962500721156,0.0,3.4594316186372973,0.0,0.0,1
BQLHLP66ANF,2.584962500721156,0.0,4.643856189774724,2.0,0.0,0.0,1
BQLHLP67ANF,0.0,1.584962500721156,0.0,0.0,0.0,0.0,0
BQLHLP68ANF,0.0,0.0,0.0,1.0,0.0,2.321928094887362,0
BQLHLP69ANF,0.0,0.0,0.0,0.0,0.0,0.0,0
BQLHLP70ANF,2.0,0.0,3.584962500721156,2.321928094887362,2.0,0.0,1
BQLHLP71ANF,2.321928094887362,0.0,0.0,0.0,0.0,0.0,1
BQLHLP72ANF,0.0,0.0,0.0,0.0,0.0,0.0,0
BQLHLP73ANF,0.0,0.0,0.0,0.0,0.0,0.0,0
