"Genus","W Statistic","p-value","q-value (FDR)"
"Klebsiella",9.959,"1.851e-05","0.0004073"
"Veillonella",8.704,"3.553e-05","0.0005211"
"[Ruminococcus]_gnavus_group",8.875,"6.319e-05","0.0006951"
"Tyzzerella",10.146,"0.0001015","0.0008936"
"Faecalibacterium",40.659,"0.0003507","0.0025719"
"Megasphaera",21.55,"0.0004848","0.0030474"
"Corynebacterium",8.025,"0.0008647","0.0047561"
"Streptococcus",5.123,"0.0020612","0.0100770"
"Bifidobacterium",4.987,"0.0025115","0.0105827"
"Lacticaseibacillus",6.111,"0.0026457","0.0105827"
"Enterobacter",5.787,"0.0033890","0.0124263"
"[Clostridium]_innocuum_group",5.37,"0.0062178","0.0210448"
"Akkermansia",8.322,"0.0085983","0.0270233"
"Clostridium_sensu_stricto_1",4.361,"0.0097228","0.0285202"
"Cutibacterium",9.321,"0.0123935","0.0340821"
"Blautia",17.352,"5.774e-07","2.54e-05"
