"Metric","Condicion_Clinica","Mean","SD"
"Observed","CTRL",58.7448708520076,22.3699454011418
"Observed","RSV-/Wheeze-",33.6865825600396,3.80578918257493
"Observed","RSV-/Wheeze+",52.7143243266271,22.2437084229059
"Observed","RSV+/Wheeze-",44.5165234054369,18.394205117711
"Observed","RSV+/Wheeze+",48.3762279693041,16.4776253486877
"Shannon","CTRL",1.90243487474335,0.621232176189163
"Shannon","RSV-/Wheeze-",1.80886505642807,0.241000009642624
"Shannon","RSV-/Wheeze+",2.07750387625064,0.676879654412798
"Shannon","RSV+/Wheeze-",1.9007515455433,0.618708287741599
"Shannon","RSV+/Wheeze+",1.9554126716113,0.479805904989899
"Simpson","CTRL",0.706285409216685,0.15719616299104
"Simpson","RSV-/Wheeze-",0.744611635009503,0.0953709727904401
"Simpson","RSV-/Wheeze+",0.737102396470306,0.184065439199585
"Simpson","RSV+/Wheeze-",0.725345528233748,0.155475600670073
"Simpson","RSV+/Wheeze+",0.75015338186484,0.11322585340665
