"Metric","Group1","Group2","p-raw","p-adj (FDR)","Significancia"
"Observed","CTRL","RSV-/Wheeze-",0.048,0.69,"ns"
"Observed","CTRL","RSV+/Wheeze-",0.092,0.69,"ns"
"Observed","RSV-/Wheeze-","RSV-/Wheeze+",0.075,0.69,"ns"
"Observed","RSV-/Wheeze-","RSV+/Wheeze+",0.04,0.69,"ns"
"Observed","CTRL","RSV-/Wheeze+",0.601,0.94375,"ns"
"Observed","CTRL","RSV+/Wheeze+",0.221,0.94375,"ns"
"Observed","RSV-/Wheeze-","RSV+/Wheeze-",0.188,0.94375,"ns"
"Observed","RSV-/Wheeze+","RSV+/Wheeze-",0.27,0.94375,"ns"
"Observed","RSV-/Wheeze+","RSV+/Wheeze+",0.591,0.94375,"ns"
"Observed","RSV+/Wheeze-","RSV+/Wheeze+",0.368,0.94375,"ns"
"Shannon","CTRL","RSV-/Wheeze+",0.536,0.94375,"ns"
"Shannon","CTRL","RSV+/Wheeze+",0.725,0.94375,"ns"
"Shannon","RSV-/Wheeze-","RSV-/Wheeze+",0.44,0.94375,"ns"
"Shannon","RSV-/Wheeze-","RSV+/Wheeze+",0.427,0.94375,"ns"
"Shannon","RSV-/Wheeze+","RSV+/Wheeze-",0.46,0.94375,"ns"
"Shannon","RSV-/Wheeze+","RSV+/Wheeze+",0.54,0.94375,"ns"
"Shannon","RSV+/Wheeze-","RSV+/Wheeze+",0.66,0.94375,"ns"
"Shannon","CTRL","RSV+/Wheeze-",0.824,0.9888,"ns"
"Shannon","CTRL","RSV-/Wheeze-",1,1,"ns"
"Shannon","RSV-/Wheeze-","RSV+/Wheeze-",1,1,"ns"
"Simpson","CTRL","RSV-/Wheeze-",0.755,0.94375,"ns"
"Simpson","CTRL","RSV-/Wheeze+",0.669,0.94375,"ns"
"Simpson","CTRL","RSV+/Wheeze-",0.656,0.94375,"ns"
"Simpson","CTRL","RSV+/Wheeze+",0.57,0.94375,"ns"
"Simpson","RSV-/Wheeze+","RSV+/Wheeze-",0.602,0.94375,"ns"
"Simpson","RSV-/Wheeze+","RSV+/Wheeze+",0.717,0.94375,"ns"
"Simpson","RSV+/Wheeze-","RSV+/Wheeze+",0.701,0.94375,"ns"
"Simpson","RSV-/Wheeze-","RSV-/Wheeze+",0.859,0.991153846153846,"ns"
"Simpson","RSV-/Wheeze-","RSV+/Wheeze+",0.898,0.997777777777778,"ns"
"Simpson","RSV-/Wheeze-","RSV+/Wheeze-",1,1,"ns"
