"Comparison","F_Model","R2","p_value_FDR"
"RSV+/Wheeze+_vs_RSV+/Wheeze-",1.36273235508325,0.0218517102060903,0.131
"RSV+/Wheeze+_vs_RSV-/Wheeze-",1.42051470467002,0.0334865032770015,0.115
"RSV+/Wheeze+_vs_RSV-/Wheeze+",1.32101618142535,0.0279160569240668,0.162
"RSV+/Wheeze+_vs_CTRL",1.55863801605899,0.0349794806451952,0.075
"RSV+/Wheeze-_vs_RSV-/Wheeze-",0.924705421659677,0.0319693980692101,0.549
"RSV+/Wheeze-_vs_RSV-/Wheeze+",1.72769343167905,0.0497497317257191,0.041
"RSV+/Wheeze-_vs_CTRL",1.16861564881728,0.0374933446510519,0.268
"RSV-/Wheeze-_vs_RSV-/Wheeze+",2.03175387385047,0.13516412594973,0.022
"RSV-/Wheeze-_vs_CTRL",1.66522596794004,0.142751282531229,0.088
"RSV-/Wheeze+_vs_CTRL",1.54461173150296,0.0933604098161962,0.095
