"","contrast","Sample_Type","estimate","SE","df","t.ratio","p.value"
"1","CTRL - (RSV-/Wheeze-)","GUT",-0.111826359213656,0.291851356195284,79,-0.383162033822554,0.99533856852282
"2","CTRL - (RSV-/Wheeze+)","GUT",-0.11862886362794,0.248153871666113,79,-0.478045588535299,0.989141708751415
"3","CTRL - (RSV+/Wheeze-)","GUT",-0.0747888613280554,0.212535076323297,79,-0.351889498062384,0.996646877024464
"4","CTRL - (RSV+/Wheeze+)","GUT",-0.110409717711223,0.206066875775062,79,-0.535795562949881,0.983338931827168
"5","(RSV-/Wheeze-) - (RSV-/Wheeze+)","GUT",-0.0068025044142843,0.271971947536057,79,-0.0250117869725606,0.999999909115702
"6","(RSV-/Wheeze-) - (RSV+/Wheeze-)","GUT",0.0370374978856003,0.243417078417788,79,0.152156529551436,0.999876893494577
"7","(RSV-/Wheeze-) - (RSV+/Wheeze+)","GUT",0.00141664150243309,0.235919439605556,79,0.00600476800386453,0.999999999697994
"8","(RSV-/Wheeze+) - (RSV+/Wheeze-)","GUT",0.0438400022998846,0.187788785114456,79,0.233453783052936,0.999328152761619
"9","(RSV-/Wheeze+) - (RSV+/Wheeze+)","GUT",0.00821914591671739,0.17678854411937,79,0.0464913943245539,0.999998915890198
"10","(RSV+/Wheeze-) - (RSV+/Wheeze+)","GUT",-0.0356208563831672,0.128599855704391,79,-0.276989862765071,0.998682900635722
"11","CTRL - (RSV-/Wheeze-)","NPA",0.227262689311793,0.291851356195284,79,0.778693278230741,0.936041116303501
"12","CTRL - (RSV-/Wheeze+)","NPA",0.30619067326542,0.248153871666113,79,1.23387425394432,0.731694894360793
"13","CTRL - (RSV+/Wheeze-)","NPA",0.0626145888332241,0.212535076323297,79,0.29460825909968,0.998322686636809
"14","CTRL - (RSV+/Wheeze+)","NPA",-0.0189628700192435,0.206066875775062,79,-0.0920228928007961,0.999983410845795
"15","(RSV-/Wheeze-) - (RSV-/Wheeze+)","NPA",0.0789279839536269,0.271971947536057,79,0.290206341752077,0.998418729956766
"16","(RSV-/Wheeze-) - (RSV+/Wheeze-)","NPA",-0.164648100478569,0.243417078417788,79,-0.676403239858034,0.960965624155719
"17","(RSV-/Wheeze-) - (RSV+/Wheeze+)","NPA",-0.246225559331037,0.235919439605556,79,-1.04368491101332,0.834202018568159
"18","(RSV-/Wheeze+) - (RSV+/Wheeze-)","NPA",-0.243576084432196,0.187788785114456,79,-1.29707471233566,0.693768753868909
"19","(RSV-/Wheeze+) - (RSV+/Wheeze+)","NPA",-0.325153543284664,0.17678854411937,79,-1.83922292535605,0.358800334971367
"20","(RSV+/Wheeze-) - (RSV+/Wheeze+)","NPA",-0.0815774588524677,0.128599855704391,79,-0.634351091652759,0.969009507402491
