"contrast","estimate","SE","df","t.ratio","p.value"
"CTRL - (RSV-/Wheeze-)",0.0331543128556563,0.142618056955064,79,0.232469250833383,0.999339266795709
"CTRL - (RSV-/Wheeze+)",0.0487364572008604,0.122461452564219,79,0.397973861818298,0.994605168004518
"CTRL - (RSV+/Wheeze-)",-0.0598395917348562,0.103569217100484,79,-0.577773912076587,0.977967589681655
"CTRL - (RSV+/Wheeze+)",-0.0491342034008835,0.101202638155118,79,-0.485503187432459,0.988487902131681
"(RSV-/Wheeze-) - (RSV-/Wheeze+)",0.0155821443452041,0.132408509136476,79,0.117682348716299,0.999955747132837
"(RSV-/Wheeze-) - (RSV+/Wheeze-)",-0.0929939045905125,0.118583145671957,79,-0.784208447697675,0.934472201495362
"(RSV-/Wheeze-) - (RSV+/Wheeze+)",-0.0822885162565398,0.11470959733263,79,-0.71736383153646,0.951921144867669
"(RSV-/Wheeze+) - (RSV+/Wheeze-)",-0.108576048935717,0.0923811633384283,79,-1.17530506233138,0.765353170085579
"(RSV-/Wheeze+) - (RSV+/Wheeze+)",-0.0978706606017439,0.0862186426499161,79,-1.1351449940953,0.78743989363245
"(RSV+/Wheeze-) - (RSV+/Wheeze+)",0.0107053883339727,0.0629594080145549,79,0.17003635630592,0.999808547064775
