"Niche","Structural_Module","Beta_Bronchiolitis","Beta_RSV Infection","Beta_Wheezing","Beta_Age (Months)","Beta_Breastfeeding","Beta_Cesarean Delivery","Beta_Previous Antibiotics","Beta_Family History Atopy","Genera_In_Module","Hub_Genus"
"Nasopharynx (NPA)","NPA_Mod1","-3.727 (FDR: 0.0258)","1.851 (FDR: 0.1082)","-2.218 (FDR: 0.0056)","0.051 (FDR: 0.9569)","0.228 (FDR: 0.9561)","0.904 (FDR: 0.4888)","-1.002 (FDR: 0.6537)","-0.647 (FDR: 0.6420)","Haemophilus Burkholderia_Caballeronia_Paraburkholderia Mycobacterium Cutibacterium Acidibacter Nevskia Bradyrhizobium Unclassified_Caulobacteraceae Unclassified_Micropepsaceae","Burkholderia_Caballeronia_Paraburkholderia"
"Nasopharynx (NPA)","NPA_Mod10","0.023 (FDR: 0.9722)","0.087 (FDR: 0.9569)","0.645 (FDR: 0.2707)","0.077 (FDR: 0.8923)","-0.444 (FDR: 0.6420)","0.375 (FDR: 0.6420)","-0.320 (FDR: 0.8832)","-0.492 (FDR: 0.5168)","Leptotrichia Lachnoanaerobaculum TM7x Solobacterium Campylobacter","Lachnoanaerobaculum"
"Nasopharynx (NPA)","NPA_Mod2","-5.956 (FDR: 0.0258)","2.212 (FDR: 0.2816)","-0.743 (FDR: 0.7379)","-0.613 (FDR: 0.5837)","0.573 (FDR: 0.8923)","-0.586 (FDR: 0.8501)","-1.851 (FDR: 0.6235)","-1.275 (FDR: 0.5837)","Bifidobacterium Bacteroides Pseudomonas Akkermansia Faecalibacterium Arcobacter unidentified_Saccharimonadales Anaerosinus Macellibacteroides Enhydrobacter Methanobrevibacter Acidovorax Acinetobacter Candidatus_Competibacter Cloacibacterium Desulfovibrio Flavobacterium Aeromonas Comamonas Prevotella_9 Unclassified_Comamonadaceae UCG_005 Christensenellaceae_R_7_group","Aeromonas"
"Nasopharynx (NPA)","NPA_Mod3","-0.257 (FDR: 0.6420)","0.268 (FDR: 0.3898)","-0.076 (FDR: 0.8429)","-0.100 (FDR: 0.4463)","0.029 (FDR: 0.9569)","0.092 (FDR: 0.8144)","-0.223 (FDR: 0.6420)","-0.089 (FDR: 0.8234)","Ruminococcus_gnavus_group Erysipelatoclostridium Lacticaseibacillus Clostridium_sensu_stricto_1 Parabacteroides Enterobacter Eggerthella Sellimonas Lachnoclostridium Hungatella Flavonifractor Anaerostipes Lactococcus Unclassified_Ruminococcaceae Finegoldia Alistipes","Hungatella"
"Nasopharynx (NPA)","NPA_Mod4","-3.472 (FDR: 0.0091)","1.354 (FDR: 0.1702)","-0.577 (FDR: 0.6114)","-0.391 (FDR: 0.4248)","0.496 (FDR: 0.7446)","-0.061 (FDR: 0.9569)","-0.981 (FDR: 0.6235)","-0.430 (FDR: 0.7142)","Collinsella Blautia Ruminococcus_torques_group Holdemanella Ruminococcus Trichococcus Unclassified_Leptotrichiaceae Methanosaeta Subdoligranulum Phascolarctobacterium Rikenellaceae_RC9_gut_group","Unclassified_Leptotrichiaceae"
"Nasopharynx (NPA)","NPA_Mod5","-5.706 (FDR: 0.0033)","1.743 (FDR: 0.2613)","-1.681 (FDR: 0.1094)","-0.166 (FDR: 0.8923)","-0.211 (FDR: 0.9569)","0.342 (FDR: 0.8923)","-0.999 (FDR: 0.7269)","0.070 (FDR: 0.9569)","Dolosigranulum Corynebacterium","Corynebacterium"
"Nasopharynx (NPA)","NPA_Mod6","-0.115 (FDR: 0.9604)","-0.388 (FDR: 0.9478)","1.290 (FDR: 0.5255)","-0.046 (FDR: 0.9569)","-2.058 (FDR: 0.4033)","2.676 (FDR: 0.0912)","-1.581 (FDR: 0.6537)","-0.735 (FDR: 0.7922)","Gemella Rothia Veillonella Unclassified_Lactobacillales Prevotella_7 Actinomyces Atopobium Megasphaera Bergeyella","Prevotella_7"
"Nasopharynx (NPA)","NPA_Mod7","-1.293 (FDR: 0.8048)","-0.097 (FDR: 0.9569)","1.872 (FDR: 0.2312)","-0.239 (FDR: 0.8923)","-1.094 (FDR: 0.6720)","2.447 (FDR: 0.1082)","0.687 (FDR: 0.9015)","-0.624 (FDR: 0.8317)","Neisseria Prevotella Unclassified_Lachnospiraceae Fusobacterium Streptobacillus Alloprevotella Porphyromonas","Prevotella"
"Nasopharynx (NPA)","NPA_Mod8","-0.285 (FDR: 0.0053)","0.109 (FDR: 0.1332)","-0.041 (FDR: 0.6235)","0.010 (FDR: 0.8923)","0.054 (FDR: 0.6235)","0.009 (FDR: 0.9569)","0.020 (FDR: 0.9478)","0.008 (FDR: 0.9569)","Clostridium_innocuum_group Tyzzerella","Clostridium_innocuum_group"
"Nasopharynx (NPA)","NPA_Mod9","-3.363 (FDR: 0.0033)","0.522 (FDR: 0.6420)","-0.562 (FDR: 0.5063)","-0.379 (FDR: 0.2816)","-0.768 (FDR: 0.4888)","0.525 (FDR: 0.6114)","0.053 (FDR: 0.9569)","0.403 (FDR: 0.6537)","Unclassified_Aenigmarchaeota Unclassified_Bacteria Unclassified_Archaea Unclassified_Mitochondria","Unclassified_Bacteria"
