"contrast","estimate","SE","df","t.ratio","p.value"
"CTRL - (RSV-/Wheeze-)",0.226689187616885,0.851103875226064,79,0.266347262908037,0.998870778726864
"CTRL - (RSV-/Wheeze+)",-0.675259609609443,0.730815010865416,79,-0.923981581617781,0.886806338493613
"CTRL - (RSV+/Wheeze-)",0.0508330775795543,0.618071539539525,79,0.0822446502186882,0.999989406634843
"CTRL - (RSV+/Wheeze+)",0.303326718856016,0.603948471574403,79,0.502239401426563,0.98692063780084
"(RSV-/Wheeze-) - (RSV-/Wheeze+)",-0.901948797226328,0.790176206610839,79,-1.14145274140169,0.784029045166968
"(RSV-/Wheeze-) - (RSV+/Wheeze-)",-0.175856110037331,0.707670381806558,79,-0.24850002848558,0.999140518228039
"(RSV-/Wheeze-) - (RSV+/Wheeze+)",0.0766375312391306,0.684554150434009,79,0.111952474746581,0.999963733075012
"(RSV-/Wheeze+) - (RSV+/Wheeze-)",0.726092687188997,0.551304426619709,79,1.31704490682397,0.681501696757994
"(RSV-/Wheeze+) - (RSV+/Wheeze+)",0.978586328465459,0.514528261307023,79,1.90190977261311,0.32488598196324
"(RSV+/Wheeze-) - (RSV+/Wheeze+)",0.252493641276462,0.375723784822074,79,0.67201931705237,0.961861895508297
