"Metric","Group1","Group2","p-raw","p-adj (FDR)","Significancia"
"Observed","CTRL","RSV-/Wheeze+",8.66e-05,0.002598,"**"
"Observed","CTRL","RSV-/Wheeze-",0.002,0.02,"*"
"Observed","CTRL","RSV+/Wheeze+",0.002,0.02,"*"
"Observed","CTRL","RSV+/Wheeze-",0.004,0.03,"*"
"Observed","RSV-/Wheeze-","RSV+/Wheeze-",0.122,0.522857142857143,"ns"
"Observed","RSV-/Wheeze+","RSV+/Wheeze-",0.174,0.6525,"ns"
"Observed","RSV-/Wheeze-","RSV+/Wheeze+",0.331,0.73421052631579,"ns"
"Observed","RSV-/Wheeze+","RSV+/Wheeze+",0.451,0.73421052631579,"ns"
"Observed","RSV+/Wheeze-","RSV+/Wheeze+",0.542,0.813,"ns"
"Observed","RSV-/Wheeze-","RSV-/Wheeze+",0.768,0.878275862068966,"ns"
"Shannon","RSV+/Wheeze-","RSV+/Wheeze+",0.219,0.657,"ns"
"Shannon","RSV-/Wheeze+","RSV+/Wheeze+",0.285,0.7125,"ns"
"Shannon","CTRL","RSV-/Wheeze+",0.4,0.73421052631579,"ns"
"Shannon","CTRL","RSV+/Wheeze-",0.465,0.73421052631579,"ns"
"Shannon","CTRL","RSV+/Wheeze+",0.849,0.878275862068966,"ns"
"Shannon","RSV-/Wheeze-","RSV-/Wheeze+",0.768,0.878275862068966,"ns"
"Shannon","RSV-/Wheeze-","RSV+/Wheeze-",0.666,0.878275862068966,"ns"
"Shannon","RSV-/Wheeze-","RSV+/Wheeze+",0.847,0.878275862068966,"ns"
"Shannon","RSV-/Wheeze+","RSV+/Wheeze-",0.679,0.878275862068966,"ns"
"Shannon","CTRL","RSV-/Wheeze-",0.898,0.898,"ns"
"Simpson","RSV+/Wheeze-","RSV+/Wheeze+",0.033,0.198,"ns"
"Simpson","RSV-/Wheeze+","RSV+/Wheeze+",0.097,0.485,"ns"
"Simpson","CTRL","RSV+/Wheeze-",0.216,0.657,"ns"
"Simpson","RSV-/Wheeze-","RSV+/Wheeze-",0.275,0.7125,"ns"
"Simpson","CTRL","RSV-/Wheeze-",0.438,0.73421052631579,"ns"
"Simpson","CTRL","RSV-/Wheeze+",0.4,0.73421052631579,"ns"
"Simpson","RSV-/Wheeze-","RSV-/Wheeze+",0.44,0.73421052631579,"ns"
"Simpson","CTRL","RSV+/Wheeze+",0.62,0.878275862068966,"ns"
"Simpson","RSV-/Wheeze-","RSV+/Wheeze+",0.847,0.878275862068966,"ns"
"Simpson","RSV-/Wheeze+","RSV+/Wheeze-",0.733,0.878275862068966,"ns"
