"Comparison","F_Model","R2","p_value_FDR"
"RSV+/Wheeze+_vs_RSV+/Wheeze-",2.1676902249559,0.0332632661595513,0.015
"RSV+/Wheeze+_vs_RSV-/Wheeze-",0.729918305715535,0.0166915085597161,0.723
"RSV+/Wheeze+_vs_RSV-/Wheeze+",1.22318791350698,0.0248498312554709,0.27
"RSV+/Wheeze+_vs_CTRL",3.14206265086094,0.0626632109799533,0.002
"RSV+/Wheeze-_vs_RSV-/Wheeze-",1.50579329570075,0.0510338183627198,0.144
"RSV+/Wheeze-_vs_RSV-/Wheeze+",2.87346286479132,0.0800999578886915,0.01
"RSV+/Wheeze-_vs_CTRL",1.55946136214466,0.0464686052411957,0.107
"RSV-/Wheeze-_vs_RSV-/Wheeze+",0.767890961441482,0.0557740443755726,0.656
"RSV-/Wheeze-_vs_CTRL",2.77286038767219,0.187699627215466,0.003
"RSV-/Wheeze+_vs_CTRL",3.9830135390577,0.189820853503417,0.001
