Genus,BQLHLP100GUT,BQLHLP101GUT,BQLHLP103GUT,BQLHLP104GUT,BQLHLP105GUT,BQLHLP106GUT,BQLHLP107GUT,BQLHLP108GUT,BQLHLP109GUT,BQLHLP110GUT,BQLHLP111GUT,BQLHLP112GUT,BQLHLP113GUT,BQLHLP114GUT,BQLHLP115GUT,BQLHLP116GUT,BQLHLP117GUT,BQLHLP118GUT,BQLHLP66GUT,BQLHLP67GUT,BQLHLP68GUT,BQLHLP69GUT,BQLHLP70GUT,BQLHLP71GUT,BQLHLP72GUT,BQLHLP73GUT,BQLHLP74GUT,BQLHLP75GUT,BQLHLP76GUT,BQLHLP77GUT,BQLHLP78GUT,BQLHLP79GUT,BQLHLP80GUT,BQLHLP81GUT,BQLHLP82GUT,BQLHLP83GUT,BQLHLP84GUT,BQLHLP85GUT,BQLHLP86GUT,BQLHLP87GUT,BQLHLP88GUT,BQLHLP89GUT,BQLHLP90GUT,BQLHLP91GUT,BQLHLP92GUT,BQLHLP93GUT,BQLHLP94GUT,BQLHLP95GUT,BQLHLP96GUT,BQLHLP97GUT,BQLHLP98GUT,BQLHLP99GUT,BQLHSO100GUT,BQLHSO101GUT,BQLHSO102GUT,BQLHSO76GUT,BQLHSO77GUT,BQLHSO78GUT,BQLHSO79GUT,BQLHSO80GUT,BQLHSO81GUT,BQLHSO82GUT,BQLHSO83GUT,BQLHSO84GUT,BQLHSO85GUT,BQLHSO86GUT,BQLHSO87GUT,BQLHSO88GUT,BQLHSO90GUT,BQLHSO91GUT,BQLHSO92GUT,BQLHSO93GUT,BQLHSO94GUT,BQLHSO95GUT,BQLHSO96GUT,BQLHSO97GUT,BQLHSO98GUT,HULP63GUT,HULP64GUT,HULP66GUT,HULP68GUT,HULP69GUT,HULP70GUT,HULP71GUT
Acinetobacter,-2.304108955874285,-3.6134041088956304,-2.3399876303584337,2.9589824163175975,-1.5142782030815587,-2.2686156378515774,6.4817721911106325,-1.7566663284688342,-2.041221201826347,-2.6795279707415753,-2.8885546975574306,-3.7448646021123357,-2.8985779694648395,-2.8178353772277616,-2.5945959028940324,-2.0354869302659795,-1.8118455778666689,-2.093166469832478,-2.3382450967880297,-1.6302707213254939,-1.9822622312858378,-1.7393696451341085,-2.2388487287168877,-1.2627928643294029,-3.122094355569293,-2.25827347448375,-1.6903362512247186,-0.947519383109772,6.987641876754111,-1.734109305846304,-1.0617999027836769,-3.082844550192516,-2.311399462216225,-3.6182610651447584,-2.007381758293042,-2.856817443407331,3.3839908337085354,-3.3276143382146524,-1.3901904272407863,-2.4306218695907136,-2.9388048245280105,-2.8595402820638407,-2.803253424382686,-4.4721141268933,-1.2782709268371173,-3.859271261555672,-2.5735474979214326,-2.877980806019626,-2.4933769307955087,-3.2311672146787496,-1.8887860461492378,-2.8608496278857,-1.9019502619225408,-1.9862253893624784,-2.257457853066465,-1.729214806922191,-2.060961232485938,-1.8647471274180392,-1.8712876465391186,-1.593817817308273,-2.5715673924298317,-2.571106315687582,-2.770424457447029,-3.8616735955407604,-1.2924419414657295,-2.890163417891146,-2.873766861818491,-1.6032229659167436,-3.33252673800614,-2.051499902038498,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,3.733011127000865,-3.9571040627308447,-3.8156342495209783,-1.8014006735628234,-2.9682760919713305,-2.8211126130227333,-2.927293552518294,-2.939601546215461,-3.6489630694860624,-1.4510334834794483,8.420229435114704
Actinomyces,-2.304108955874285,4.967612088486744,5.925264860109091,3.6501647644350146,6.444990262530642,6.041830863941413,-1.608527771797152,-1.7566663284688342,2.7503437939663162,5.1022446675667,6.521076147087587,2.8806361386060084,5.564941639727904,5.781486353141763,-2.5945959028940324,7.852958779947793,-1.8118455778666689,-2.093166469832478,-2.3382450967880297,-1.6302707213254939,5.459142677937912,4.296261370211397,5.737088121259338,7.66576924226892,5.1956456672487885,3.2759627111964615,-1.6903362512247186,-0.947519383109772,-1.8372188193447474,7.625028695232924,4.645346005337579,7.74879335868359,8.020794095859365,4.8832616514823615,4.547879637550163,5.406288964943016,-1.920168449846053,4.053262314734926,-1.3901904272407863,3.56369634528645,2.377501932192025,3.142012570880532,-2.803253424382686,1.8655935983883571,-1.2782709268371173,3.8965196878419026,4.5989503092988375,3.1974949278892146,3.724514845539078,5.013319167744394,-1.8887860461492378,1.7592049214999605,4.6532037118878256,5.917084239756441,7.291609862645643,-1.729214806922191,4.742901307592885,4.534383481622729,6.3531474052568875,-1.593817817308273,2.0464963576364807,4.3806092582400495,5.857536984962505,3.1811705144729747,-1.2924419414657295,5.895033570172027,5.6446995172466705,5.406053127831492,3.4744137239377917,3.2524101124968445,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,-1.9073696350244702,4.656853777828108,5.637983124109286,6.745106539166556,4.351132135862317,5.049281939803605,4.245025312252791,4.231608590591822,2.425158486789908,5.116876853912944,-3.1254389097604287
Akkermansia,-2.304108955874285,-3.6134041088956304,-2.3399876303584337,-2.581200966761352,-1.5142782030815587,6.479998524087275,-1.608527771797152,-1.7566663284688342,-2.041221201826347,8.568934012301535,-2.8885546975574306,-3.7448646021123357,9.484284939956034,-2.8178353772277616,-2.5945959028940324,-2.0354869302659795,-1.8118455778666689,-2.093166469832478,-2.3382450967880297,-1.6302707213254939,-1.9822622312858378,-1.7393696451341085,-2.2388487287168877,-1.2627928643294029,-3.122094355569293,-2.25827347448375,-1.6903362512247186,-0.947519383109772,-1.8372188193447474,-1.734109305846304,-1.0617999027836769,-3.082844550192516,-2.311399462216225,-3.6182610651447584,-2.007381758293042,-2.856817443407331,-1.920168449846053,7.15575785652624,-1.3901904272407863,-2.4306218695907136,-2.9388048245280105,-2.8595402820638407,-2.803253424382686,7.80872523297082,-1.2782709268371173,-3.859271261555672,-2.5735474979214326,-2.877980806019626,-2.4933769307955087,3.3228058799177456,-1.8887860461492378,8.922503181286688,-1.9019502619225408,-1.9862253893624784,-2.257457853066465,-1.729214806922191,-2.060961232485938,-1.8647471274180392,-1.8712876465391186,-1.593817817308273,2.7346953701710883,9.345993518575858,-2.770424457447029,7.662795188993554,-1.2924419414657295,-2.890163417891146,-2.873766861818491,-1.6032229659167436,9.332512389865691,4.501615248828934,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,-1.9073696350244702,-3.9571040627308447,-3.8156342495209783,-1.8014006735628234,-2.9682760919713305,-2.8211126130227333,8.464907047454238,8.256205325402117,-3.6489630694860624,-1.4510334834794483,6.053199369385933
Alistipes,-2.304108955874285,-3.6134041088956304,-2.3399876303584337,-2.581200966761352,-1.5142782030815587,3.4545922962349542,-1.608527771797152,-1.7566663284688342,-2.041221201826347,5.144786895507411,-2.8885546975574306,-3.7448646021123357,-2.8985779694648395,-2.8178353772277616,-2.5945959028940324,-2.0354869302659795,-1.8118455778666689,-2.093166469832478,-2.3382450967880297,-1.6302707213254939,-1.9822622312858378,-1.7393696451341085,-2.2388487287168877,-1.2627928643294029,-3.122094355569293,-2.25827347448375,-1.6903362512247186,-0.947519383109772,-1.8372188193447474,-1.734109305846304,-1.0617999027836769,-3.082844550192516,-2.311399462216225,1.7098695901271803,7.362805030566564,2.8444291108968724,-1.920168449846053,-3.3276143382146524,-1.3901904272407863,-2.4306218695907136,-2.9388048245280105,-2.8595402820638407,1.8141712834170272,-4.4721141268933,-1.2782709268371173,-3.859271261555672,-2.5735474979214326,-2.877980806019626,-2.4933769307955087,-3.2311672146787496,-1.8887860461492378,-2.8608496278857,-1.9019502619225408,-1.9862253893624784,-2.257457853066465,-1.729214806922191,-2.060961232485938,-1.8647471274180392,2.75183209383999,-1.593817817308273,-2.5715673924298317,-2.571106315687582,-2.770424457447029,4.1500286663294546,-1.2924419414657295,-2.890163417891146,3.8131661680380016,-1.6032229659167436,-3.33252673800614,-2.051499902038498,-1.252897970283434,2.5676706330029075,-2.5394698937211073,-1.9073696350244702,-3.9571040627308447,-3.8156342495209783,-1.8014006735628234,-2.9682760919713305,-2.8211126130227333,-2.927293552518294,-2.939601546215461,-3.6489630694860624,-1.4510334834794483,-3.1254389097604287
Anaerococcus,-2.304108955874285,-3.6134041088956304,-2.3399876303584337,-2.581200966761352,-1.5142782030815587,-2.2686156378515774,-1.608527771797152,-1.7566663284688342,-2.041221201826347,-2.6795279707415753,-2.8885546975574306,-3.7448646021123357,-2.8985779694648395,-2.8178353772277616,-2.5945959028940324,-2.0354869302659795,-1.8118455778666689,-2.093166469832478,-2.3382450967880297,-1.6302707213254939,-1.9822622312858378,-1.7393696451341085,-2.2388487287168877,-1.2627928643294029,-3.122094355569293,-2.25827347448375,-1.6903362512247186,-0.947519383109772,-1.8372188193447474,-1.734109305846304,-1.0617999027836769,-3.082844550192516,3.3958533836963283,-3.6182610651447584,-2.007381758293042,-2.856817443407331,-1.920168449846053,-3.3276143382146524,-1.3901904272407863,-2.4306218695907136,-2.9388048245280105,-2.8595402820638407,-2.803253424382686,-4.4721141268933,-1.2782709268371173,-3.859271261555672,2.043167651089139,1.8180725577388208,-2.4933769307955087,-3.2311672146787496,-1.8887860461492378,-2.8608496278857,-1.9019502619225408,-1.9862253893624784,-2.257457853066465,-1.729214806922191,-2.060961232485938,-1.8647471274180392,-1.8712876465391186,-1.593817817308273,-2.5715673924298317,-2.571106315687582,-2.770424457447029,-3.8616735955407604,-1.2924419414657295,-2.890163417891146,-2.873766861818491,-1.6032229659167436,-3.33252673800614,-2.051499902038498,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,-1.9073696350244702,-3.9571040627308447,-3.8156342495209783,5.382366547021142,-2.9682760919713305,-2.8211126130227333,-2.927293552518294,-2.939601546215461,-3.6489630694860624,-1.4510334834794483,7.033964107194301
Anaerostipes,-2.304108955874285,5.938274438207443,-2.3399876303584337,-2.581200966761352,-1.5142782030815587,-2.2686156378515774,-1.608527771797152,-1.7566663284688342,-2.041221201826347,-2.6795279707415753,-2.8885546975574306,5.896308622382588,-2.8985779694648395,6.667591335635474,-2.5945959028940324,-2.0354869302659795,-1.8118455778666689,-2.093166469832478,6.593381618749128,-1.6302707213254939,-1.9822622312858378,-1.7393696451341085,-2.2388487287168877,-1.2627928643294029,3.9922423770705797,-2.25827347448375,-1.6903362512247186,-0.947519383109772,-1.8372188193447474,-1.734109305846304,-1.0617999027836769,-3.082844550192516,-2.311399462216225,-3.6182610651447584,-2.007381758293042,-2.856817443407331,-1.920168449846053,5.648780323786677,-1.3901904272407863,-2.4306218695907136,-2.9388048245280105,7.9896292472140145,-2.803253424382686,-4.4721141268933,-1.2782709268371173,4.398442569188008,-2.5735474979214326,-2.877980806019626,-2.4933769307955087,5.486507815328682,-1.8887860461492378,6.467891517474487,-1.9019502619225408,-1.9862253893624784,-2.257457853066465,-1.729214806922191,-2.060961232485938,-1.8647471274180392,-1.8712876465391186,-1.593817817308273,-2.5715673924298317,-2.571106315687582,4.489785291850112,-3.8616735955407604,-1.2924419414657295,-2.890163417891146,-2.873766861818491,-1.6032229659167436,-3.33252673800614,-2.051499902038498,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,-1.9073696350244702,-3.9571040627308447,8.1069829054427,-1.8014006735628234,-2.9682760919713305,-2.8211126130227333,3.472730487646719,-2.939601546215461,-3.6489630694860624,-1.4510334834794483,-3.1254389097604287
Atopobium,2.3121452551490114,-3.6134041088956304,-2.3399876303584337,-2.581200966761352,4.214305548693807,-2.2686156378515774,-1.608527771797152,-1.7566663284688342,-2.041221201826347,-2.6795279707415753,6.915525426412477,-3.7448646021123357,-2.8985779694648395,-2.8178353772277616,-2.5945959028940324,-2.0354869302659795,-1.8118455778666689,-2.093166469832478,-2.3382450967880297,-1.6302707213254939,-1.9822622312858378,-1.7393696451341085,3.1762538789432915,-1.2627928643294029,2.608385123812156,-2.25827347448375,-1.6903362512247186,-0.947519383109772,-1.8372188193447474,-1.734109305846304,-1.0617999027836769,-3.082844550192516,2.9920477905703486,2.1137156770883108,-2.007381758293042,-2.856817443407331,-1.920168449846053,-3.3276143382146524,-1.3901904272407863,-2.4306218695907136,-2.9388048245280105,1.763115500297109,-2.803253424382686,-4.4721141268933,-1.2782709268371173,-3.859271261555672,-2.5735474979214326,-2.877980806019626,-2.4933769307955087,-3.2311672146787496,-1.8887860461492378,-2.8608496278857,-1.9019502619225408,-1.9862253893624784,3.7386819710914474,-1.729214806922191,-2.060961232485938,-1.8647471274180392,-1.8712876465391186,-1.593817817308273,3.829995225165975,-2.571106315687582,-2.770424457447029,-3.8616735955407604,-1.2924419414657295,4.024072434860511,-2.873766861818491,-1.6032229659167436,-3.33252673800614,-2.051499902038498,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,-1.9073696350244702,1.107659575896447,-3.8156342495209783,-1.8014006735628234,2.409189431139136,-2.8211126130227333,-2.927293552518294,2.7678295549352705,-3.6489630694860624,-1.4510334834794483,-3.1254389097604287
Bacteroides,9.405536531515242,-3.6134041088956304,3.389288371813955,3.3631380651761797,-1.5142782030815587,8.774343712706205,-1.608527771797152,-1.7566663284688342,-2.041221201826347,-2.6795279707415753,-2.8885546975574306,9.263782803475705,-2.8985779694648395,-2.8178353772277616,-2.5945959028940324,10.547683150017642,8.102464622449533,11.706249673275222,9.114177178204114,-1.6302707213254939,-1.9822622312858378,7.338503126613658,6.263040630210891,-1.2627928643294029,-3.122094355569293,-2.25827347448375,11.633366886962555,-0.947519383109772,11.226705510845076,-1.734109305846304,-1.0617999027836769,-3.082844550192516,8.317385582451553,-3.6182610651447584,-2.007381758293042,-2.856817443407331,-1.920168449846053,8.101532128201839,11.47527440649934,-2.4306218695907136,5.822723180216974,7.766979656352907,8.91413158166517,-4.4721141268933,11.710334746621928,6.351620873682634,9.366916170527054,-2.877980806019626,-2.4933769307955087,-3.2311672146787496,7.616518075687695,-2.8608496278857,10.24861861670882,7.003029172419976,5.183696293775899,11.59674511982212,9.857793684232833,11.457496995829606,8.279334752511362,11.65933679541088,-2.5715673924298317,-2.571106315687582,8.395388564660294,6.2672380646969215,6.149500527805175,9.681518242357606,8.09896435762317,-1.6032229659167436,9.974765192445915,7.785440473890341,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,-1.9073696350244702,-3.9571040627308447,7.274845468505976,-1.8014006735628234,-2.9682760919713305,8.26006916150477,9.325666612669323,8.04603002591066,-3.6489630694860624,-1.4510334834794483,-3.1254389097604287
Bifidobacterium,12.355363461808045,9.397767166848233,12.024559706083087,8.963871752393706,13.074240373651081,12.038286325163849,13.094850276237269,10.425580610290908,-2.041221201826347,11.88672739732631,6.679887700689203,9.842770654383045,11.45600699257308,11.636109212292467,11.959608853221718,12.434213312027989,12.8885863108146,10.833865918169739,12.14159947329097,12.648678853760282,-1.9822622312858378,13.022697708789618,11.687087351501065,4.777648273573841,11.488405237868037,11.608636705997847,12.719547262446826,13.822386997806987,11.949311581135229,12.6907288871241,13.662045702501745,11.540175299090695,12.283762956922,10.626396122736871,12.472852814137514,2.8444291108968724,12.38306211399484,10.454888916364215,13.054579427693882,12.044526995840393,11.495562996361645,11.83875804984089,11.81308248478481,8.347850750140108,13.275981876959994,10.572134388789904,10.99498533320514,9.386537917375392,11.326518072646383,10.809514835418533,12.877005255678755,11.693549830890335,12.536518328676154,12.717008856911848,12.513553657129119,12.701052371743355,12.424888418921684,-1.8647471274180392,12.399293294278321,12.900868442939009,12.148215106280771,11.944668485508652,11.853539066617722,10.506882293433849,13.392595777467458,6.9986587067906125,11.766905276303236,13.125651684386906,9.768370061765012,10.8803135208261,13.541054143071717,12.405462070538581,11.392415365104858,12.638215965735302,9.844218631732355,4.417668302153736,3.6810272556260064,11.353210695760184,11.773010211477017,11.608073965780745,11.753739655768685,10.591978789136503,13.191853713037505,8.565410137137583
Bilophila,5.634767435464099,-3.6134041088956304,3.89881337855952,-2.581200966761352,-1.5142782030815587,-2.2686156378515774,-1.608527771797152,-1.7566663284688342,-2.041221201826347,-2.6795279707415753,-2.8885546975574306,-3.7448646021123357,4.977323782997594,-2.8178353772277616,-2.5945959028940324,-2.0354869302659795,-1.8118455778666689,-2.093166469832478,-2.3382450967880297,-1.6302707213254939,-1.9822622312858378,-1.7393696451341085,5.846251864369562,-1.2627928643294029,-3.122094355569293,4.776963762235771,-1.6903362512247186,-0.947519383109772,-1.8372188193447474,-1.734109305846304,-1.0617999027836769,-3.082844550192516,-2.311399462216225,-3.6182610651447584,-2.007381758293042,-2.856817443407331,3.3839908337085354,-3.3276143382146524,-1.3901904272407863,-2.4306218695907136,-2.9388048245280105,-2.8595402820638407,5.171883764539981,-4.4721141268933,-1.2782709268371173,3.0641671419322285,-2.5735474979214326,-2.877980806019626,-2.4933769307955087,-3.2311672146787496,6.086243650946541,-2.8608496278857,-1.9019502619225408,-1.9862253893624784,-2.257457853066465,5.6437820741877465,-2.060961232485938,-1.8647471274180392,-1.8712876465391186,-1.593817817308273,-2.5715673924298317,6.13767486865865,-2.770424457447029,4.040867630536916,-1.2924419414657295,-2.890163417891146,-2.873766861818491,-1.6032229659167436,-3.33252673800614,-2.051499902038498,-1.252897970283434,-2.1807816528706736,-2.5394698937211073,-1.9073696350244702,-3.9571040627308447,-3.8156342495209783,-1.8014006735628234,-2.9682760919713305,-2.8211126130227333,-2.927293552518294,-2.939601546215461,-3.6489630694860624,-1.4510334834794483,-3.1254389097604287
