"","MMturquoise","MMyellow","MMblue","MMbrown"
"Acetoanaerobium",0.480296240388698,-0.31677909335346,0.159715080900042,0.48333411953394
"Acetobacteroides",-0.0160856644181329,-0.0885041747252229,0.582301051936412,0.868031510920326
"Acidibacter",0.145091749610831,-0.754441247228643,0.172451530732582,0.0911269399499976
"Acidovorax",0.623944525685174,-0.246134251615642,-0.127072031699608,0.291759045237983
"Acinetobacter",0.593094013868579,-0.400254728996651,-0.325288928723053,-0.07676777206472
"Actinobacillus",-0.203981319873579,-0.0360300014151611,0.582225576678145,0.325987074862022
"Actinomyces",-0.394084626633332,0.666644653049672,-0.0382376527194679,-0.22488796641351
"Aeromonas",0.663040709467428,-0.452728902306713,-0.208113590263692,0.0909759894334638
"Agathobacter",0.250172177932921,-0.220887777725364,0.307288079626397,0.558375395065805
"Aggregatibacter",-0.246775791310911,-0.0172743997358366,0.825425727628662,0.508297561205717
"Akkermansia",0.569658946176706,-0.330383508656069,-0.256512099627341,0.145204962498231
"Alistipes",0.12527949431577,-0.110618425397424,0.345780461342516,0.462672767583377
"Alloprevotella",-0.518618802773716,0.515901693476107,0.1351856219633,-0.220793433652531
"Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium",0.135544129440068,-0.20339638662201,0.324307750365583,0.420048115477145
"Anaerococcus",-0.0408604179442427,-0.113844992688334,0.605396480966083,0.396462097268739
"Anaerosinus",0.772498702768998,-0.371045804047361,-0.143676588518326,0.290777866880513
"Aquaspirillum",0.408707957922544,-0.285022878437662,0.213510071229775,0.572847775838483
"Arcobacter",0.814538421623662,-0.185508750412755,-0.408651351478843,-0.0212557196094155
"Atopobium",-0.231680739657531,0.410575970564649,0.197660266993726,0.0500683994528044
"Bacteroides",0.643077503655833,-0.422595405443653,-0.282777489504222,0.0967687155054484
"Bergeyella",-0.307703193546865,0.507108825888014,0.0597481013255342,-0.103448275862069
"Bifidobacterium",0.207849426859758,-0.198056512099627,-0.178980140572669,-0.147563564319072
"Blautia",0.352101514222369,-0.335478088589084,-0.0296900797207415,0.236794188405113
"Brachymonas",-0.0597481013255342,-0.0585404971932638,0.641756686636162,0.512807207887164
"Bradyrhizobium",0.124807773951601,-0.701080239633945,0.145808764564366,0.263550167460729
"Brevundimonas",0.169960847209774,-0.149261757630077,0.32115665833294,0.545469125902165
"Burkholderia.Caballeronia.Paraburkholderia",0.242134062927497,-0.757252700599085,0.00900985895561111,-0.0843530355205434
"C39",0.218246143686023,-0.268663616208312,0.361554790320298,0.597131940185858
"Campylobacter",-0.471258078211236,0.377989527807916,0.566130477852729,0.401443464314354
"Candidatus_Competibacter",0.746667295627152,-0.292117552714751,-0.163545450257088,0.348705127600358
"Candidatus_Obscuribacter",0.0550875041275532,-0.183263361479315,0.493145903108637,0.707344686070098
"Capnocytophaga",-0.153526109722157,0.0146705033256286,0.532808151327893,0.507599415066748
"Catenibacterium",0.114958252747771,-0.275135619604698,0.47146563517147,0.697853672343035
"Caulobacter",-0.091579791499599,-0.114184631350535,0.634265767253172,0.556016793244964
"Cetobacterium",0.0234256332845889,-0.222416151705269,0.560092457191377,0.715835652625124
"Christensenellaceae_R.7_group",0.575432803434124,-0.314118590499552,-0.0597858389546677,0.433407236190386
"Chryseobacterium",0.177432897778197,-0.295815840369829,0.361064201141563,0.481635926222935
"Cloacibacillus",0.631020331147696,-0.312043020897212,-0.0628803245436105,0.505542714278975
"Cloacibacterium",0.636039435822444,-0.48978725411576,-0.0799566017264965,0.31338270673145
"Clostridium_sensu_stricto_1",0.049200433982735,-0.179678286711637,0.52314731826973,0.520354733713854
