"","p.MMturquoise","p.MMyellow","p.MMblue","p.MMbrown"
"Acetoanaerobium",2.87013578796599e-06,0.00296218971967371,0.141857056242832,2.43140426293454e-06
"Acetobacteroides",0.883132842070482,0.417747250190153,4.0776890571887e-09,2.85905023153665e-27
"Acidibacter",0.182564077438666,4.98307213781121e-17,0.112338744691346,0.404028268494044
"Acidovorax",1.38144990997487e-10,0.0223468735918267,0.243652004934143,0.00641765162243199
"Acinetobacter",1.77586766121361e-09,0.000134311019305206,0.00224285377513236,0.482345406145153
"Actinobacillus",0.0595889542375595,0.741894075799008,4.10102518045176e-09,0.00219147546620691
"Actinomyces",0.00017386868290655,2.44358829651894e-12,0.726683659054165,0.0373649534527756
"Aeromonas",3.52306967151406e-12,1.20540621905826e-05,0.0545008040423864,0.404810594104042
"Agathobacter",0.020172459540191,0.0409759783030676,0.00400265637696909,2.32018662731181e-08
"Aggregatibacter",0.0219885867181019,0.874564129989615,1.44531839825885e-22,5.84619390679546e-07
"Akkermansia",1.03967711032213e-08,0.00189155848742364,0.017124567658721,0.18221930242454
"Alistipes",0.250420585720761,0.310612432379701,0.00111051055186296,7.28664322478899e-06
"Alloprevotella",3.13509333499136e-07,3.70135238312519e-07,0.214598014414752,0.0410645302700342
"Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium",0.213373434943022,0.0603394931122481,0.00231689318845351,5.66692709349127e-05
"Anaerococcus",0.708750164862954,0.296622384684183,6.6274625801204e-10,0.000157500737960402
"Anaerosinus",3.02825473771389e-18,0.000436425706549204,0.186913904293916,0.00660644017324298
"Aquaspirillum",9.35232855989223e-05,0.00781567184178917,0.0483974727042652,8.24107005864624e-09
"Arcobacter",1.44515923047757e-21,0.0872583579934727,9.37532659724231e-05,0.845976271987323
"Atopobium",0.0318430993588209,8.62210237148312e-05,0.0681148472035826,0.647090239893796
"Bacteroides",2.44958882576239e-11,5.05122902973683e-05,0.00833785811327118,0.375430525884924
"Bergeyella",0.0039510943686688,6.27297563321806e-07,0.584748551184315,0.343206868281952
"Bifidobacterium",0.0548150574801241,0.0675529341039909,0.099178582357008,0.175143984883722
"Blautia",0.000885396284565907,0.00159067227446344,0.786110078113457,0.0281545371948455
"Brachymonas",0.584748551184315,0.592374862369255,2.77105966982012e-11,4.4640232759411e-07
"Bradyrhizobium",0.252223014633675,5.64152537676266e-14,0.180388508593585,0.0142138327233758
"Brevundimonas",0.11770156619542,0.170175869139255,0.00256977130470756,5.60686692363978e-08
"Burkholderia.Caballeronia.Paraburkholderia",0.0246952067648786,3.27422702634712e-17,0.934381912469779,0.440002645243355
"C39",0.0435162854502276,0.0123775297637339,0.000625430681150578,1.29092819785909e-09
"Campylobacter",4.65817010833479e-06,0.000333063421824377,1.34066532282497e-08,0.000127720212125773
"Candidatus_Competibacter",1.54639281099866e-16,0.00634986957058601,0.13242302324707,0.00100058297111078
"Candidatus_Obscuribacter",0.614424517246358,0.0912228529269307,1.40730406149013e-06,2.68181596483762e-14
"Capnocytophaga",0.158158835353081,0.89335114515464,1.28614542233287e-07,6.09338898461451e-07
"Catenibacterium",0.291893002646604,0.0103517359871377,4.60736307359239e-06,8.2131982401808e-14
"Caulobacter",0.401686629507842,0.295174217123082,5.5148583662236e-11,2.73381055656018e-08
"Cetobacterium",0.830476203960641,0.0395634315484505,2.05734426040837e-08,9.48230842292368e-15
"Christensenellaceae_R.7_group",6.81372554276057e-09,0.00322613696319252,0.584510953053774,3.0681311378822e-05
"Chryseobacterium",0.10218258463717,0.00568671697712659,0.000636982499281728,2.66818526742013e-06
"Cloacibacillus",7.38805776744447e-11,0.00344646020564245,0.565179813422229,6.88037435573053e-07
"Cloacibacterium",4.69351205030723e-11,1.70022194608219e-06,0.464284763802675,0.00330276607948626
"Clostridium_sensu_stricto_1",0.652809870924999,0.0978459816706292,2.36953971798012e-07,2.81741484887185e-07
"Collinsella",3.28441517812233e-06,0.000398119054035923,0.885719741042575,0.0159848397905235
"Comamonas",7.62900798513219e-11,0.000352618056472367,0.63867257714297,0.000513704683343955
"Conchiformibius",0.0488460181921789,0.00229244967289835,0.000458807194068753,3.01697403867549e-14
"Coprococcus",1.4082554345861e-07,0.00109573542840622,0.391536384255945,1.53413745363065e-06
"Corynebacterium",0.74790183711611,4.16043591684483e-06,0.736031823206363,0.415061527624073
"Cutibacterium",0.00104964663443078,6.3274377146996e-14,0.708878632033644,0.811560388801235
"Desulfovibrio",1.27404620448345e-05,0.0308394422403811,0.339590331241222,9.83325784048684e-08
"Dialister",0.000943308977513807,0.0185949202819224,0.291574177841778,1.10252996455775e-06
"Dolosigranulum",0.490696863579937,0.0102810206160416,0.538246114417955,0.381162868251697
"Dorea",9.47917632720843e-07,0.00323977264401834,0.249056660407551,0.00149264854020145
"Enhydrobacter",4.43271415756124e-08,2.19616167956947e-06,0.448984572084567,0.140148051243383
"Enterobacter",0.30878896075913,0.781469790796039,2.72375641602815e-05,4.14010224782246e-17
"Enterococcus",0.00062411016766922,0.000194792531402609,0.582849002351838,0.00687212130914462
"Erysipelatoclostridium",0.0287801742280747,0.053566887971397,0.00435267949960327,4.58891991721697e-09
"Erysipelotrichaceae_UCG.003",0.0198730256075682,0.00525434920691095,0.00139280309572306,1.56915024189605e-14
