"","tax","mergedColors"
"1","Acetoanaerobium","turquoise"
"2","Acetobacteroides","brown"
"3","Acidibacter","yellow"
"4","Acidovorax","turquoise"
"5","Acinetobacter","turquoise"
"6","Actinobacillus","blue"
"7","Actinomyces","yellow"
"8","Aeromonas","turquoise"
"9","Agathobacter","turquoise"
"10","Aggregatibacter","blue"
"11","Akkermansia","turquoise"
"12","Alistipes","blue"
"13","Alloprevotella","yellow"
"14","Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium","blue"
"15","Anaerococcus","blue"
"16","Anaerosinus","turquoise"
"17","Aquaspirillum","turquoise"
"18","Arcobacter","turquoise"
"19","Atopobium","yellow"
"20","Bacteroides","turquoise"
"21","Bergeyella","yellow"
"22","Bifidobacterium","yellow"
"23","Blautia","turquoise"
"24","Brachymonas","blue"
"25","Bradyrhizobium","yellow"
"26","Brevundimonas","turquoise"
"27","Burkholderia.Caballeronia.Paraburkholderia","yellow"
"28","C39","turquoise"
"29","Campylobacter","brown"
"30","Candidatus_Competibacter","turquoise"
"31","Candidatus_Obscuribacter","brown"
"32","Capnocytophaga","brown"
"33","Catenibacterium","turquoise"
"34","Caulobacter","blue"
"35","Cetobacterium","brown"
"36","Christensenellaceae_R.7_group","turquoise"
"37","Chryseobacterium","blue"
"38","Cloacibacillus","turquoise"
"39","Cloacibacterium","turquoise"
"40","Clostridium_sensu_stricto_1","blue"
"41","Collinsella","turquoise"
"42","Comamonas","turquoise"
"43","Conchiformibius","turquoise"
"44","Coprococcus","turquoise"
"45","Corynebacterium","yellow"
"46","Cutibacterium","yellow"
"47","Desulfovibrio","turquoise"
"48","Dialister","turquoise"
"49","Dolosigranulum","yellow"
"50","Dorea","turquoise"
"51","Enhydrobacter","turquoise"
"52","Enterobacter","brown"
"53","Enterococcus","turquoise"
"54","Erysipelatoclostridium","brown"
"55","Erysipelotrichaceae_UCG.003","turquoise"
"56","Escherichia.Shigella","yellow"
"57","Faecalibacterium","turquoise"
"58","Finegoldia","blue"
"59","Flavobacterium","turquoise"
"60","Fusicatenibacter","brown"
"61","Fusobacterium","yellow"
"62","Gemella","yellow"
"63","Haemophilus","blue"
"64","Holdemanella","turquoise"
"65","Hydrogenophaga","turquoise"
"66","Kingella","blue"
"67","Klebsiella","yellow"
"68","Kocuria","blue"
"69","Lachnoanaerobaculum","yellow"
"70","Lachnoclostridium","blue"
"71","Lachnospira","brown"
"72","Lachnospiraceae_NK3A20_group","brown"
"73","Lactobacillus","brown"
"74","Lactococcus","brown"
"75","Lacunisphaera","blue"
"76","Laribacter","blue"
"77","Lawsonella","blue"
"78","Legionella","blue"
"79","Leptotrichia","yellow"
"80","Ligilactobacillus","brown"
"81","Macellibacteroides","turquoise"
"82","Megamonas","turquoise"
"83","Megasphaera","blue"
"84","Methanobrevibacter","turquoise"
"85","Methanosaeta","turquoise"
"86","Methylobacterium.Methylorubrum","turquoise"
"87","Microbacterium","brown"
"88","Monoglobus","turquoise"
"89","Moraxella","blue"
"90","Mycobacterium","yellow"
"91","NK4A214_group","turquoise"
"92","Neisseria","yellow"
"93","Nesterenkonia","blue"
"94","Nevskia","yellow"
"95","Oceanivirga","blue"
"96","Oribacterium","brown"
"97","Paludibacter","brown"
"98","Parabacteroides","brown"
"99","Paracoccus","blue"
"100","Parvimonas","blue"
"101","Peptococcus","blue"
"102","Peptoniphilus","brown"
"103","Peptostreptococcus","blue"
"104","Phascolarctobacterium","turquoise"
"105","Phreatobacter","blue"
"106","Porphyromonas","yellow"
"107","Prevotella","yellow"
"108","Prevotella_7","yellow"
"109","Prevotella_9","turquoise"
"110","Propionivibrio","brown"
"111","Proteiniclasticum","brown"
"112","Proteocatella","turquoise"
"113","Pseudarcobacter","brown"
"114","Pseudomonas","turquoise"
"115","Rikenellaceae_RC9_gut_group","turquoise"
"116","Romboutsia","blue"
"117","Rothia","yellow"
"118","Ruminococcus","turquoise"
"119","Runella","blue"
"120","Saccharofermentans","brown"
"121","Scardovia","blue"
"122","Sebaldella","brown"
"123","Selenomonas","blue"
"124","Senegalimassilia","brown"
"125","Solobacterium","brown"
"126","Sphingomonas","blue"
"127","Staphylococcus","yellow"
"128","Stenotrophomonas","brown"
"129","Stomatobaculum","brown"
"130","Streptobacillus","blue"
"131","Streptococcus","yellow"
"132","Subdoligranulum","turquoise"
"133","Succinivibrio","brown"
"134","TM7a","turquoise"
"135","TM7x","yellow"
"136","Thauera","brown"
"137","Tolumonas","turquoise"
"138","Treponema","blue"
"139","Trichococcus","turquoise"
"140","UCG.005","turquoise"
"141","Uruburuella","brown"
"142","Veillonella","yellow"
"143","Zoogloea","blue"
"144","X.Eubacterium._hallii_group","blue"
"145","X.Ruminococcus._gnavus_group","blue"
"146","X.Ruminococcus._torques_group","turquoise"
"147","dgA.11_gut_group","turquoise"
